Date,Country,Cumulative number of case(s),Number of deaths,Number recovered
2003-06-18,Canada,246.0,33.0,176.0
2003-06-18,China,5326.0,347.0,4762.0
2003-06-18,Hong Kong SAR, China,1755.0,295.0,1393.0
2003-06-18,Macao SAR, China,1.0,0.0,1.0
2003-06-18,Taiwan, China,697.0,83.0,469.0
2003-06-18,Colombia,1.0,0.0,1.0
2003-06-18,Finland,1.0,0.0,1.0
2003-06-18,France,7.0,0.0,6.0
2003-06-18,Germany,10.0,0.0,9.0
2003-06-18,India,3.0,0.0,3.0
2003-06-18,Indonesia,2.0,0.0,2.0
2003-06-18,Italy,9.0,0.0,9.0
2003-06-18,Kuwait,1.0,0.0,1.0
2003-06-18,Malaysia,5.0,2.0,3.0
2003-06-18,Mongolia,9.0,0.0,9.0
2003-06-18,New Zealand,1.0,0.0,1.0
2003-06-18,Philippines,14.0,2.0,12.0
2003-06-18,Republic of Ireland,1.0,0.0,1.0
2003-06-18,Republic of Korea,3.0,0.0,3.0
2003-06-18,Romania,1.0,0.0,1.0
2003-06-18,Russian Federation,1.0,0.0,0.0
2003-06-18,Singapore,206.0,31.0,169.0
2003-06-18,South Africa,1.0,1.0,0.0
2003-06-18,Spain,1.0,0.0,1.0
2003-06-18,Sweden,3.0,0.0,3.0
2003-06-18,Switzerland,1.0,0.0,1.0
2003-06-18,Thailand,9.0,2.0,6.0
2003-06-18,United Kingdom,4.0,0.0,4.0
2003-06-18,United States,75.0,0.0,36.0
2003-06-18,Viet Nam,63.0,5.0,58.0
2003-06-19,Brazil,3.0,0.0,2.0
2003-06-19,Canada,245.0,34.0,175.0
2003-06-19,China,5326.0,347.0,4786.0
2003-06-19,Hong Kong SAR, China,1755.0,296.0,1396.0
2003-06-19,Macao SAR, China,1.0,0.0,1.0
2003-06-19,Taiwan, China,695.0,84.0,472.0
2003-06-19,Colombia,1.0,0.0,1.0
2003-06-19,Finland,1.0,0.0,1.0
2003-06-19,France,7.0,0.0,6.0
2003-06-19,Germany,10.0,0.0,9.0
2003-06-19,India,3.0,0.0,3.0
2003-06-19,Indonesia,2.0,0.0,2.0
2003-06-19,Italy,9.0,0.0,9.0
2003-06-19,Kuwait,1.0,0.0,1.0
2003-06-19,Malaysia,5.0,2.0,3.0
2003-06-19,Mongolia,9.0,0.0,9.0
2003-06-19,New Zealand,1.0,0.0,1.0
2003-06-19,Philippines,14.0,2.0,12.0
2003-06-19,Republic of Ireland,1.0,0.0,1.0
2003-06-19,Republic of Korea,3.0,0.0,3.0
2003-06-19,Romania,1.0,0.0,1.0
2003-06-19,Russian Federation,1.0,0.0,0.0
2003-06-19,Singapore,206.0,31.0,170.0
2003-06-19,South Africa,1.0,1.0,0.0
2003-06-19,Spain,1.0,0.0,1.0
2003-06-19,Sweden,3.0,0.0,3.0
2003-06-19,Switzerland,1.0,0.0,1.0
2003-06-19,Thailand,9.0,2.0,6.0
2003-06-19,United Kingdom,4.0,0.0,4.0
2003-06-19,United States,75.0,0.0,36.0
2003-06-19,Viet Nam,63.0,5.0,58.0
2003-06-20,Brazil,3.0,0.0,2.0
2003-06-20,Canada,245.0,34.0,180.0
2003-06-20,China,5326.0,347.0,4806.0
2003-06-20,Hong Kong SAR, China,1755.0,296.0,1403.0
2003-06-20,Macao SAR, China,1.0,0.0,1.0
2003-06-20,Taiwan, China,695.0,84.0,480.0
2003-06-20,Colombia,1.0,0.0,1.0
2003-06-20,Finland,1.0,0.0,1.0
2003-06-20,France,7.0,0.0,6.0
2003-06-20,Germany,10.0,0.0,9.0
2003-06-20,India,3.0,0.0,3.0
2003-06-20,Indonesia,2.0,0.0,2.0
2003-06-20,Italy,9.0,0.0,9.0
2003-06-20,Kuwait,1.0,0.0,1.0
2003-06-20,Malaysia,5.0,2.0,3.0
2003-06-20,Mongolia,9.0,0.0,9.0
2003-06-20,New Zealand,1.0,0.0,1.0
2003-06-20,Philippines,14.0,2.0,12.0
2003-06-20,Republic of Ireland,1.0,0.0,1.0
2003-06-20,Republic of Korea,3.0,0.0,3.0
2003-06-20,Romania,1.0,0.0,1.0
2003-06-20,Russian Federation,1.0,0.0,0.0
2003-06-20,Singapore,206.0,31.0,170.0
2003-06-20,South Africa,1.0,1.0,0.0
2003-06-20,Spain,1.0,0.0,1.0
2003-06-20,Sweden,3.0,0.0,3.0
2003-06-20,Switzerland,1.0,0.0,1.0
2003-06-20,Thailand,9.0,2.0,6.0
2003-06-20,United Kingdom,4.0,0.0,4.0
2003-06-20,United States,74.0,0.0,36.0
2003-06-20,Viet Nam,63.0,5.0,58.0
2003-06-23,Brazil,3.0,0.0,2.0
2003-06-23,Canada,246.0,35.0,182.0
2003-06-23,China,5326.0,347.0,4895.0
2003-06-23,Hong Kong SAR, China,1755.0,296.0,1411.0
2003-06-23,Macao SAR, China,1.0,0.0,1.0
2003-06-23,Taiwan, China,692.0,84.0,486.0
2003-06-23,Colombia,1.0,0.0,1.0
2003-06-23,Finland,1.0,0.0,1.0
2003-06-23,France,7.0,0.0,6.0
2003-06-23,Germany,10.0,0.0,9.0
2003-06-23,India,3.0,0.0,3.0
2003-06-23,Indonesia,2.0,0.0,2.0
2003-06-23,Italy,9.0,0.0,9.0
2003-06-23,Kuwait,1.0,0.0,1.0
2003-06-23,Malaysia,5.0,2.0,3.0
2003-06-23,Mongolia,9.0,0.0,9.0
2003-06-23,New Zealand,1.0,0.0,1.0
2003-06-23,Philippines,14.0,2.0,12.0
2003-06-23,Republic of Ireland,1.0,0.0,1.0
2003-06-23,Republic of Korea,3.0,0.0,3.0
2003-06-23,Romania,1.0,0.0,1.0
2003-06-23,Russian Federation,1.0,0.0,0.0
2003-06-23,Singapore,206.0,31.0,170.0
2003-06-23,South Africa,1.0,1.0,0.0
2003-06-23,Spain,1.0,0.0,1.0
2003-06-23,Sweden,3.0,0.0,3.0
2003-06-23,Switzerland,1.0,0.0,1.0
