Financial Institution Number,Institution Name,Institution Type,Charter Type,Headquarters,Failure Date,Insurance Fund,Certificate Number,Transaction Type,Total Deposits,Total Assets,Estimated Loss (2015)
NaN,THE TAYLOR NATIONAL BANK OF CAMPBELLSVILLE,COMMERCIAL BANK,FEDERAL,CAMPBELLSVILLE, KY,6/30/1937 ,FDIC,NaN,PAYOUT,914.0,1651.0,NaN
NaN,AMERICAN BANK,COMMERCIAL BANK,STATE,HIGGINSVILLE, MO,7/3/1937 ,FDIC,NaN,ACQUISITION,206.0,NaN,NaN
NaN,BANK OF STURGIS,COMMERCIAL BANK,STATE,STURGIS, KY,7/3/1937 ,FDIC,NaN,PAYOUT,213.0,246.0,NaN
NaN,BANK OF ANUTT,COMMERCIAL BANK,STATE,ANUTT, MO,7/12/1937 ,FDIC,NaN,ACQUISITION,33.0,NaN,NaN
NaN,CHATTOOGA COUNTY BANK,COMMERCIAL BANK,STATE,SUMMERVILLE, GA,7/13/1937 ,FDIC,NaN,PAYOUT,205.0,265.0,NaN
NaN,FARMERS STATE BANK OF BAINVILLE,COMMERCIAL BANK,STATE,BAINVILLE, MT,7/13/1937 ,FDIC,NaN,PAYOUT,54.0,104.0,NaN
NaN,FARMERS & MERCHANTS BANK,COMMERCIAL BANK,STATE,NEWBERN, TN,7/17/1937 ,FDIC,NaN,PAYOUT,189.0,264.0,NaN
NaN,PEOPLES BANK OF BLOXOM, INC.,COMMERCIAL BANK,STATE,BLOXOM, VA,7/19/1937 ,FDIC,NaN,PAYOUT,63.0,101.0,NaN
NaN,MICHIGAN CITY TRUST & SAVINGS BANK,COMMERCIAL BANK,STATE,MICHIGAN CITY, IN,7/20/1937 ,FDIC,NaN,ACQUISITION,983.0,NaN,NaN
NaN,FIRST BANK & TRUST COMPANY OF HAMILTON,COMMERCIAL BANK,STATE,HAMILTON, MO,7/24/1937 ,FDIC,NaN,PAYOUT,544.0,698.0,NaN
NaN,KOCHAN BANKING COMPANY,COMMERCIAL BANK,STATE,MAYSVILLE, MO,8/5/1937 ,FDIC,NaN,ACQUISITION,173.0,NaN,NaN
NaN,THE BANK OF NOEL,COMMERCIAL BANK,STATE,NOEL, MO,8/11/1937 ,FDIC,NaN,PAYOUT,108.0,135.0,NaN
NaN,THE FIRST NATIONAL BANK OF ALBERTVILLE,COMMERCIAL BANK,FEDERAL,ALBERTVILLE, AL,8/12/1937 ,FDIC,NaN,ACQUISITION,428.0,NaN,NaN
NaN,THE FORT GREENE NATIONAL BANK IN NEW YORK,COMMERCIAL BANK,FEDERAL,BROOKLYN, NY,8/14/1937 ,FDIC,NaN,PAYOUT,1987.0,2379.0,NaN
NaN,FARMERS AND MERCHANTS BANK,COMMERCIAL BANK,STATE,BRILLION, WI,8/21/1937 ,FDIC,NaN,ACQUISITION,159.0,NaN,NaN
NaN,FARMERS BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,CHARLES TOWN, WV,8/31/1937 ,FDIC,NaN,PAYOUT,1361.0,1262.0,NaN
NaN,ROANOKE STATE BANK,COMMERCIAL BANK,STATE,ROANOKE, IL,9/8/1937 ,FDIC,NaN,PAYOUT,280.0,265.0,NaN
NaN,STONEHAM TRUST COMPANY,COMMERCIAL BANK,STATE,STONEHAM, MA,9/11/1937 ,FDIC,NaN,ACQUISITION,809.0,NaN,NaN
NaN,THE BANK OF GALENA,COMMERCIAL BANK,STATE,GALENA, MO,9/14/1937 ,FDIC,NaN,PAYOUT,76.0,93.0,NaN
NaN,BURT STATE BANK,COMMERCIAL BANK,STATE,BURT, ND,9/25/1937 ,FDIC,NaN,PAYOUT,39.0,63.0,NaN
NaN,WESTWOOD TRUST COMPANY,COMMERCIAL BANK,STATE,WESTWOOD, NJ,9/30/1937 ,FDIC,NaN,ACQUISITION,648.0,NaN,NaN
NaN,THE FIRST NATIONAL BANK OF LOVELADY,COMMERCIAL BANK,FEDERAL,LOVELADY, TX,10/1/1937 ,FDIC,NaN,ACQUISITION,78.0,NaN,NaN
