Financial Institution Number,Institution Name,Institution Type,Charter Type,Headquarters,Failure Date,Insurance Fund,Certificate Number,Transaction Type,Total Deposits,Total Assets,Estimated Loss (2015)
4025.0,TREASURE STATE BANK,COMMERCIAL BANK,STATE,GLASGOW, MT,6/9/1989 ,FDIC,22612.0,ACQUISITION,13150.0,14553.0,2577.0
7240.0,SUN STATE SAVINGS & LOAN,SAVINGS ASSOCIATION,FEDERAL/STATE,PHOENIX, AZ,6/14/1989 ,RTC,31997.0,TRANSFER,892888.0,1046842.0,443613.0
7032.0,WESTERN SAVINGS & LOAN,SAVINGS ASSOCIATION,FEDERAL/STATE,PHOENIX, AZ,6/14/1989 ,RTC,28597.0,ACQUISITION,4130994.0,5654683.0,2076644.0
5972.0,CAPITAL BANK-NORTHWEST, NATIONAL,COMMERCIAL BANK,FEDERAL,SAN ANTONIO, TX,6/15/1989 ,FDIC,25308.0,TRANSFER,17233.0,15962.0,3580.0
4026.0,HELOTES STATE BANK,COMMERCIAL BANK,STATE,HELOTES, TX,6/15/1989 ,FDIC,23695.0,ACQUISITION,21000.0,21327.0,4998.0
4027.0,NORTHERN BANK & TRUST,COMMERCIAL BANK,STATE,FORT COLLINS, CO,6/15/1989 ,FDIC,21999.0,ACQUISITION,6560.0,6914.0,776.0
5973.0,GUARDIAN BANK, N.A.,COMMERCIAL BANK,FEDERAL,HEMPSTEAD, NY,6/21/1989 ,FDIC,20681.0,PAYOUT,383002.0,409389.0,203576.0
7078.0,GREAT SOUTHERN FEDERAL SAVINGS,SAVINGS BANK,STATE,SAVANNAH, GA,6/22/1989 ,RTC,29507.0,ACQUISITION,629870.0,880160.0,146470.0
7076.0,FIRST FED. S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,AMERICUS, GA,6/22/1989 ,RTC,30458.0,ACQUISITION,49767.0,54422.0,8841.0
4028.0,PRESTON NORTH NATIONAL BANK,COMMERCIAL BANK,FEDERAL,DALLAS, TX,6/22/1989 ,FDIC,24630.0,ACQUISITION,6930.0,6504.0,1536.0
6920.0,HABERSHAM FEDERAL SA,SAVINGS BANK,STATE,CORNELIA, GA,6/22/1989 ,RTC,27924.0,TRANSFER,90802.0,93297.0,36003.0
4029.0,NEW ULM STATE BANK,COMMERCIAL BANK,STATE,NEW ULM, TX,6/29/1989 ,FDIC,11926.0,ACQUISITION,11777.0,11963.0,2962.0
7165.0,MISSOURI SAVINGS ASSOCIATION,SAVINGS ASSOCIATION,FEDERAL/STATE,CLAYTON, MO,6/29/1989 ,RTC,28581.0,ACQUISITION,500715.0,661088.0,48840.0
6971.0,FIRST FED. S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,BAKERSFIELD, CA,6/29/1989 ,RTC,28119.0,ACQUISITION,127327.0,126419.0,11284.0
7006.0,PEOPLES S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,HAMPTON, VA,6/29/1989 ,RTC,28378.0,ACQUISITION,24322.0,23943.0,1381.0
6972.0,THE GUARDIAN FED. S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,BAKERSFIELD, CA,6/29/1989 ,RTC,32142.0,TRANSFER,28646.0,29396.0,11744.0
4030.0,HOBBY COMMUNITY BANK,COMMERCIAL BANK,STATE,HOUSTON, TX,6/29/1989 ,FDIC,26969.0,ACQUISITION,8480.0,8010.0,3341.0
7004.0,AMERIMAC SAVINGS BANK, FS,SAVINGS BANK,STATE,HILLSBORO, IL,6/29/1989 ,RTC,31326.0,TRANSFER,25285.0,29564.0,7968.0
6968.0,MID MISSOURI S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,BOONVILLE, MO,6/29/1989 ,RTC,31019.0,TRANSFER,67577.0,76660.0,16630.0
2100.0,VICTORIA SA,SAVINGS ASSOCIATION,FEDERAL/STATE,SAN ANTONIO, TX,6/29/1989 ,RTC,29378.0,PAYOUT,855717.0,882849.0,968972.0
5974.0,INDEPENDENT BANK-EAST, NATIONAL,COMMERCIAL BANK,FEDERAL,ROCKWALL, TX,6/30/1989 ,FDIC,21155.0,TRANSFER,35780.0,40565.0,14500.0
4031.0,FIRST NATIONAL BANK OF RICHARDSON,COMMERCIAL BANK,FEDERAL,RICHARDSON, TX,6/30/1989 ,FDIC,19069.0,ACQUISITION,46739.0,44549.0,8835.0
5975.0,102 VALLEY BANK,COMMERCIAL BANK,STATE,HOPKINS, MO,7/5/1989 ,FDIC,17405.0,TRANSFER,5019.0,5042.0,1746.0
6997.0,CROSS ROADS S & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,CHECOTAH, OK,7/13/1989 ,RTC,32154.0,TRANSFER,17173.0,16802.0,14615.0
7067.0,FIRST SAVINGS & LOAN,SAVINGS ASSOCIATION,FEDERAL/STATE,WACO, TX,7/13/1989 ,RTC,27874.0,ACQUISITION,415656.0,373721.0,141819.0
7016.0,PIONEER SAVINGS FA,SAVINGS ASSOCIATION,FEDERAL/STATE,PLYMOUTH, IN,7/13/1989 ,RTC,28609.0,ACQUISITION,92273.0,81022.0,1195.0
4033.0,NATIONAL BANK OF COMMERCE OF BROWNSVILLE,COMMERCIAL BANK,FEDERAL,BROWNSVILLE, TX,7/13/1989 ,FDIC,19431.0,ACQUISITION,34771.0,34694.0,17194.0
4032.0,THE STERLINGTON BANK,COMMERCIAL BANK,STATE,STERLINGTON, LA,7/13/1989 ,FDIC,16839.0,ACQUISITION,14646.0,15243.0,4204.0
7017.0,CORNERSTONE FEDERAL SAVINGS,SAVINGS ASSOCIATION,FEDERAL/STATE,HOUSTON, TX,7/13/1989 ,RTC,32398.0,ACQUISITION,110411.0,112421.0,26708.0
5976.0,BENNETT NATIONAL BANK,COMMERCIAL BANK,FEDERAL,BENNETT, CO,7/13/1989 ,FDIC,24741.0,TRANSFER,8015.0,8276.0,2818.0
5977.0,INDEPENDENT BANK, NATIONAL ASSOC,COMMERCIAL BANK,FEDERAL,COPPELL, TX,7/14/1989 ,FDIC,25813.0,TRANSFER,32672.0,34710.0,10941.0
4037.0,TEXAS AMERICAN BANK/FORUM, NA,COMMERCIAL BANK,FEDERAL,ARLINGTON, TX,7/20/1989 ,FDIC,20966.0,ACQUISITION,64208.0,62628.0,15965.0
4034.0,UTICA NATIONAL BANK & TRUST COMP,COMMERCIAL BANK,FEDERAL,TULSA, OK,7/20/1989 ,FDIC,17198.0,ACQUISITION,177847.0,164978.0,48048.0
4052.0,TEXAS AMERICAN BANK/SOUTHWEST, NA,COMMERCIAL BANK,FEDERAL,STAFFORD, TX,7/20/1989 ,FDIC,20512.0,ACQUISITION,40444.0,36015.0,13898.0
4056.0,TEXAS AMERICAN BANK/LEVELLAND,COMMERCIAL BANK,STATE,LEVELLAND, TX,7/20/1989 ,FDIC,16209.0,ACQUISITION,179092.0,195037.0,910.0
4053.0,TEXAS AMERICAN BANK/AMARILLO, NA,COMMERCIAL BANK,FEDERAL,AMARILLO, TX,7/20/1989 ,FDIC,15332.0,ACQUISITION,207371.0,218186.0,14655.0
4042.0,TEXAS AMERICAN BANK/DALLAS, NA,COMMERCIAL BANK,FEDERAL,DALLAS, TX,7/20/1989 ,FDIC,16345.0,ACQUISITION,262833.0,229694.0,114531.0
4051.0,TEXAS AMERICAN BANK/GALLERIA, NA,COMMERCIAL BANK,FEDERAL,HOUSTON, TX,7/20/1989 ,FDIC,18307.0,ACQUISITION,352793.0,289594.0,133263.0
4044.0,TEXAS AMERICAN BANK/MCKINNEY, NA,COMMERCIAL BANK,FEDERAL,MCKINNEY, TX,7/20/1989 ,FDIC,3331.0,ACQUISITION,167278.0,175696.0,24967.0
7066.0,HOME FEDERAL S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,MEMPHIS, TN,7/20/1989 ,RTC,27978.0,ACQUISITION,164252.0,204269.0,20017.0
7281.0,COMMONWEALTH FEDERAL S & L,SAVINGS ASSOCIATION,FEDERAL/STATE,FORT LAUDERDALE, FL,7/20/1989 ,RTC,32076.0,ACQUISITION,1184116.0,1576500.0,315240.0
7231.0,PARISH FEDERAL S & L ASSOC.,SAVINGS BANK,STATE,DENHAM SPRINGS, LA,7/20/1989 ,RTC,31984.0,PAYOUT,14881.0,14723.0,4364.0
6988.0,SIERRA S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,BEVERLY HILLS, CA,7/20/1989 ,RTC,32428.0,ACQUISITION,39974.0,40721.0,11124.0
6986.0,AMERICAN INTERSTATE SA,SAVINGS ASSOCIATION,FEDERAL/STATE,LOS ANGELES, CA,7/20/1989 ,RTC,32475.0,PAYOUT,25043.0,24877.0,5029.0
5978.0,FALLBROOK NATIONAL BANK,COMMERCIAL BANK,FEDERAL,HOUSTON, TX,7/20/1989 ,FDIC,25854.0,TRANSFER,35643.0,35964.0,12153.0
6990.0,PEOPLES S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,STREATOR, IL,7/20/1989 ,RTC,29428.0,TRANSFER,47273.0,46305.0,19690.0
4041.0,TEXAS AMERICAN BANK/WICHITA FALLS,COMMERCIAL BANK,FEDERAL,WICHITA FALLS, TX,7/20/1989 ,FDIC,18372.0,ACQUISITION,64707.0,64989.0,8557.0
4054.0,TEXAS AMERICAN BANK/MIDLAND, NA,COMMERCIAL BANK,FEDERAL,MIDLAND, TX,7/20/1989 ,FDIC,17421.0,ACQUISITION,131652.0,135159.0,29098.0
4058.0,TEXAS AMERICAN BANK/AUSTIN, NA,COMMERCIAL BANK,FEDERAL,AUSTIN, TX,7/20/1989 ,FDIC,18070.0,ACQUISITION,181575.0,127093.0,101109.0
4057.0,TEXAS AMERICAN BANK/FREDERICKSBURG,COMMERCIAL BANK,FEDERAL,FREDERICKSBURG, TX,7/20/1989 ,FDIC,3205.0,ACQUISITION,138932.0,139055.0,24949.0
4036.0,TEXAS AMERICAN BANK/FORT WORTH,,COMMERCIAL BANK,FEDERAL,FORT WORTH, TX,7/20/1989 ,FDIC,3202.0,ACQUISITION,1354335.0,1974591.0,443222.0
4047.0,TEXAS AMERICAN BANK/TYLER, NA,COMMERCIAL BANK,FEDERAL,TYLER, TX,7/20/1989 ,FDIC,20722.0,ACQUISITION,139943.0,153843.0,4017.0
7074.0,NEW MEXICO FSA,SAVINGS ASSOCIATION,FEDERAL/STATE,ALBUQUERQUE, NM,7/20/1989 ,RTC,31350.0,ACQUISITION,194004.0,240741.0,48183.0
4048.0,TEXAS AMERICAN BANK/PLANO, NA,COMMERCIAL BANK,FEDERAL,PLANO, TX,7/20/1989 ,FDIC,24365.0,ACQUISITION,36159.0,34760.0,11308.0
4055.0,TEXAS AMERICAN BANK/TEMPLE, NA,COMMERCIAL BANK,FEDERAL,TEMPLE, TX,7/20/1989 ,FDIC,21838.0,ACQUISITION,70082.0,68011.0,8690.0
4043.0,TEXAS AMERICAN BANK/DENISON, NA,COMMERCIAL BANK,FEDERAL,DENISON, TX,7/20/1989 ,FDIC,3172.0,ACQUISITION,137111.0,137049.0,25454.0
4038.0,TEXAS AMERICAN BANK/LBJ, NA,COMMERCIAL BANK,FEDERAL,DALLAS, TX,7/20/1989 ,FDIC,22317.0,ACQUISITION,68463.0,62777.0,19551.0
4035.0,TEXAS AMERICAN BANK/PRESTONWOOD,,COMMERCIAL BANK,FEDERAL,DALLAS, TX,7/20/1989 ,FDIC,22234.0,ACQUISITION,49544.0,49842.0,11393.0
4045.0,TEXAS AMERICAN BANK/BRECKENRIDGE,COMMERCIAL BANK,FEDERAL,BRECKENRIDGE, TX,7/20/1989 ,FDIC,13973.0,ACQUISITION,86165.0,82026.0,16075.0
4046.0,TEXAS AMERICAN BANK/FARMERS BRANCH,COMMERCIAL BANK,FEDERAL,FARMERS BRANCH, TX,7/20/1989 ,FDIC,23093.0,ACQUISITION,47490.0,48380.0,6341.0
4040.0,TEXAS AMERICAN BANK/DUNCANVILLE,COMMERCIAL BANK,FEDERAL,DUNCANVILLE, TX,7/20/1989 ,FDIC,18392.0,ACQUISITION,215660.0,213385.0,38905.0
4049.0,TEXAS AMERICAN BANK/LONGVIEW, NA,COMMERCIAL BANK,FEDERAL,LONGVIEW, TX,7/20/1989 ,FDIC,23262.0,ACQUISITION,91439.0,90055.0,20896.0
4039.0,TEXAS AMERICAN BANK/GREATER SOUTH,COMMERCIAL BANK,STATE,GRAND PRAIRIE, TX,7/20/1989 ,FDIC,23672.0,ACQUISITION,31530.0,32656.0,3770.0
4050.0,TEXAS AMERICAN BANK/RICHARDSON,COMMERCIAL BANK,FEDERAL,RICHARDSON, TX,7/20/1989 ,FDIC,23175.0,ACQUISITION,42365.0,44458.0,4545.0
4059.0,FIDELITY BANK,COMMERCIAL BANK,STATE,SCOTTSDALE, AZ,7/21/1989 ,FDIC,26270.0,ACQUISITION,11586.0,11247.0,3456.0
4060.0,HILDALGO COUNTY BANK,COMMERCIAL BANK,STATE,MERCEDES, TX,7/26/1989 ,FDIC,1723.0,ACQUISITION,18621.0,18879.0,3359.0
7037.0,FSA OF THE SOUTHWEST,SAVINGS BANK,STATE,KILGORE, TX,7/27/1989 ,RTC,32497.0,TRANSFER,36549.0,45841.0,17620.0
7033.0,LAFAYETTE S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,GRETNA, LA,7/27/1989 ,RTC,31821.0,TRANSFER,26928.0,29119.0,7300.0
7038.0,NEW BRAUNFELS S & LA ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,NEW BRAUNFELS, TX,7/27/1989 ,RTC,31741.0,TRANSFER,82368.0,85640.0,64934.0
7298.0,COMMERCIAL S & LA ASSOC.,SAVINGS BANK,STATE,HAMMOND, LA,7/27/1989 ,RTC,32068.0,PAYOUT,66607.0,74198.0,33413.0
7107.0,CAPITOL FEDERAL S & L,SAVINGS ASSOCIATION,FEDERAL/STATE,LITTLE ROCK, AR,7/27/1989 ,RTC,31915.0,TRANSFER,46695.0,89941.0,17178.0
7005.0,HALLMARK S & L ASSOCIATION,SAVINGS ASSOCIATION,FEDERAL/STATE,PLANO, TX,7/27/1989 ,RTC,28955.0,PAYOUT,175770.0,166114.0,176946.0
5979.0,FORESTWOOD NATIONAL BANK OF DALLAS,COMMERCIAL BANK,FEDERAL,DALLAS, TX,7/27/1989 ,FDIC,23026.0,TRANSFER,63231.0,62015.0,24264.0
4061.0,THE TEXAS BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,SWEETWATER, TX,7/27/1989 ,FDIC,11173.0,ACQUISITION,33473.0,33658.0,5362.0
7020.0,NORTH AMERICAN FSA,SAVINGS ASSOCIATION,FEDERAL/STATE,SAN ANTONIO, TX,7/27/1989 ,RTC,31824.0,PAYOUT,92750.0,99796.0,52837.0
4062.0,BRUSHY CREEK NATIONAL BANK,COMMERCIAL BANK,FEDERAL,ROUND ROCK, TX,7/27/1989 ,FDIC,26182.0,ACQUISITION,10312.0,9787.0,2495.0
6970.0,NEW GUARANTY FED. S & L ASSOC.,SAVINGS BANK,STATE,TAYLOR, MI,7/27/1989 ,RTC,30484.0,ACQUISITION,192498.0,212547.0,7919.0
7172.0,CAPITOL CITY FEDERAL SAVINGS,SAVINGS ASSOCIATION,FEDERAL/STATE,AUSTIN, TX,7/27/1989 ,RTC,31630.0,ACQUISITION,397111.0,528171.0,214790.0
5980.0,EMPIRE STATE BANK,COMMERCIAL BANK,STATE,NEW YORK, NY,7/28/1989 ,FDIC,26722.0,PAYOUT,26247.0,30202.0,2637.0
7185.0,CAPROCK FEDERAL SAVINGS & LOAN,SAVINGS ASSOCIATION,FEDERAL/STATE,LUBBOCK, TX,8/1/1989 ,RTC,32116.0,PAYOUT,442935.0,436134.0,403084.0
4065.0,UNIVERSITY NATIONAL BANK,COMMERCIAL BANK,FEDERAL,SAN ANTONIO, TX,8/3/1989 ,FDIC,22457.0,ACQUISITION,22491.0,19844.0,5940.0
4063.0,BARNARD STATE BANK,COMMERCIAL BANK,STATE,BARNARD, KS,8/3/1989 ,FDIC,4623.0,ACQUISITION,5145.0,4988.0,976.0
4064.0,FIRST BANK AND TRUST COMPANY,COMMERCIAL BANK,STATE,YALE, OK,8/3/1989 ,FDIC,4233.0,ACQUISITION,27677.0,28485.0,8273.0
5981.0,PARK FORTY-FIVE NATIONAL BANK,COMMERCIAL BANK,FEDERAL,SPRING, TX,8/4/1989 ,FDIC,25871.0,TRANSFER,22242.0,21952.0,10286.0
7079.0,CENTRAL SAVINGS & LOAN,SAVINGS ASSOCIATION,FEDERAL/STATE,NEW ORLEANS, LA,8/7/1989 ,RTC,29867.0,TRANSFER,63020.0,53265.0,28831.0
7244.0,TERREBONNE S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,HOUMA, LA,8/7/1989 ,RTC,31396.0,TRANSFER,23892.0,26616.0,6964.0
7044.0,AMERICAN SAVINGS & LOAN,SAVINGS ASSOCIATION,FEDERAL/STATE,NEW ORLEANS, LA,8/7/1989 ,RTC,27755.0,TRANSFER,71471.0,61122.0,22171.0
7193.0,DELTA SAVINGS & LOAN ASSOCIATION,SAVINGS ASSOCIATION,FEDERAL/STATE,KENNER, LA,8/7/1989 ,RTC,31686.0,TRANSFER,114605.0,148468.0,76340.0
7159.0,FIRST CITY FEDERAL S & L,SAVINGS ASSOCIATION,FEDERAL/STATE,BATON ROUGE, LA,8/7/1989 ,RTC,32091.0,ACQUISITION,25099.0,22177.0,11915.0
7324.0,SOUTH S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,SLIDELL, LA,8/7/1989 ,RTC,29832.0,PAYOUT,235857.0,267400.0,86800.0
7080.0,HOME S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,NEW ORLEANS, LA,8/7/1989 ,RTC,29868.0,PAYOUT,35393.0,36524.0,16379.0
7308.0,CITIZENS HOMESTEAD FSA,SAVINGS ASSOCIATION,FEDERAL/STATE,NEW ORLEANS, LA,8/7/1989 ,RTC,27748.0,PAYOUT,116092.0,108598.0,34359.0
7294.0,SECURITY HOMESTEAD FEDERAL,SAVINGS ASSOCIATION,FEDERAL/STATE,NEW ORLEANS, LA,8/7/1989 ,RTC,28237.0,PAYOUT,538612.0,547616.0,70828.0
7094.0,METROPOLITAN FINANCIAL FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,DALLAS, TX,8/10/1989 ,RTC,27651.0,ACQUISITION,663254.0,799517.0,317677.0
7062.0,UNIFIRST BANK FOR SAVINGS,SAVINGS BANK,STATE,JACKSON, MS,8/10/1989 ,RTC,29076.0,ACQUISITION,606759.0,738323.0,59147.0
6946.0,PEOPLES HERITAGE FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,SALINA, KS,8/10/1989 ,RTC,28899.0,TRANSFER,1467127.0,1810155.0,707046.0
4066.0,FIRST STATE BANK,COMMERCIAL BANK,STATE,LIBERTY, TX,8/17/1989 ,BIF,11158.0,ACQUISITION,61352.0,62218.0,18435.0
4068.0,FIRST STATE BANK OF MCKINNEY,COMMERCIAL BANK,STATE,MCKINNEY, TX,8/17/1989 ,BIF,20297.0,ACQUISITION,20227.0,18100.0,3668.0
4067.0,CITIZENS NATIONAL BANK OF KILLEEN,COMMERCIAL BANK,FEDERAL,KILLEEN, TX,8/17/1989 ,BIF,23536.0,ACQUISITION,36792.0,35494.0,3835.0
7052.0,SOUTHSIDE FED. S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,AUSTIN, TX,8/17/1989 ,RTC,32001.0,PAYOUT,41421.0,49604.0,29172.0
7053.0,GUADALUPE S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,KERRVILLE, TX,8/17/1989 ,RTC,31809.0,PAYOUT,15838.0,25789.0,7578.0
7108.0,BLACK HAWK S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,ROCK ISLAND, IL,8/17/1989 ,RTC,29194.0,ACQUISITION,68341.0,71809.0,1802.0
7134.0,SECURITY FED. S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,PEORIA, IL,8/17/1989 ,RTC,29850.0,ACQUISITION,231268.0,318275.0,23541.0
7092.0,TAYLORBANC FEDERAL S & L,SAVINGS ASSOCIATION,FEDERAL/STATE,TAYLOR, TX,8/17/1989 ,RTC,30486.0,ACQUISITION,137401.0,139517.0,47645.0
7025.0,HEARNE BUILDING & LOAN ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,HEARNE, TX,8/17/1989 ,RTC,30452.0,PAYOUT,25887.0,27114.0,5964.0
4071.0,FARMERS STATE BANK OF YUMA,COMMERCIAL BANK,STATE,YUMA, CO,8/24/1989 ,BIF,10417.0,ACQUISITION,24864.0,26604.0,1905.0
4070.0,TROUP BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,TROUP, TX,8/24/1989 ,BIF,5560.0,ACQUISITION,24820.0,24064.0,2432.0
5984.0,SUMMIT BANK,COMMERCIAL BANK,STATE,SAN ANTONIO, TX,8/24/1989 ,BIF,21256.0,TRANSFER,18484.0,19197.0,3859.0
4069.0,FIRST STATE BANK,COMMERCIAL BANK,STATE,PFLUGERVILLE, TX,8/24/1989 ,BIF,12300.0,ACQUISITION,30994.0,30690.0,8778.0
7090.0,DENTON FEDERAL SAVINGS,SAVINGS ASSOCIATION,FEDERAL/STATE,DENTON, TX,8/24/1989 ,RTC,28760.0,ACQUISITION,147991.0,142729.0,31981.0
5983.0,PARK CENTRAL BANK, NATIONAL ASSOC,COMMERCIAL BANK,FEDERAL,FORT WORTH, TX,8/24/1989 ,BIF,26319.0,TRANSFER,15193.0,11853.0,5449.0
5982.0,THE DAKOTA BANK,COMMERCIAL BANK,STATE,GRAND FORKS, ND,8/24/1989 ,BIF,22967.0,TRANSFER,28647.0,31174.0,2861.0
7146.0,HERITAGE SAVINGS ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,JERSEYVILLE, IL,8/24/1989 ,RTC,30628.0,ACQUISITION,27735.0,32884.0,1.0
5985.0,THE BURR OAK STATE BANK,COMMERCIAL BANK,STATE,BURR OAK, KS,8/31/1989 ,BIF,9657.0,TRANSFER,4098.0,4387.0,457.0
5986.0,LIBERTY BANK,COMMERCIAL BANK,STATE,GLENDALE, AZ,9/1/1989 ,BIF,23943.0,ACQUISITION,30466.0,32357.0,8218.0
7085.0,CITIZENS S & LA OF SPRINGFIELD,SAVINGS ASSOCIATION,FEDERAL/STATE,SPRINGFIELD, IL,9/7/1989 ,RTC,28107.0,ACQUISITION,78483.0,89309.0,6.0
5988.0,THOUSAND OAKS NATIONAL BANK,COMMERCIAL BANK,FEDERAL,SAN ANTONIO, TX,9/7/1989 ,BIF,25906.0,ACQUISITION,32479.0,30158.0,3496.0
5987.0,THE LASALLE STATE BANK,COMMERCIAL BANK,STATE,JENA, LA,9/7/1989 ,BIF,8805.0,ACQUISITION,37123.0,38808.0,631.0
5989.0,FIRST BANKERS TRUST OF BOSSIER CITY,COMMERCIAL BANK,STATE,BOSSIER CITY, LA,9/14/1989 ,BIF,25595.0,ACQUISITION,28656.0,27094.0,6941.0
5992.0,MEDCENTRE BANK,N.A.,COMMERCIAL BANK,FEDERAL,SAN ANTONIO, TX,9/14/1989 ,BIF,25731.0,ACQUISITION,30152.0,27811.0,6695.0
5991.0,KIRBY STATE BANK,COMMERCIAL BANK,STATE,KIRBY, TX,9/14/1989 ,BIF,21186.0,ACQUISITION,16453.0,16787.0,0.0
5990.0,PRAIRIE STATE BANK,COMMERCIAL BANK,STATE,GRAND PRAIRIE, TX,9/14/1989 ,BIF,26462.0,TRANSFER,16783.0,16397.0,2760.0
7068.0,FIRST SAVINGS OF LAREDO,SAVINGS ASSOCIATION,FEDERAL/STATE,LAREDO, TX,9/14/1989 ,RTC,28912.0,PAYOUT,157577.0,171151.0,119150.0
5993.0,ROSE CAPITAL BANK,COMMERCIAL BANK,STATE,TYLER, TX,9/21/1989 ,BIF,22726.0,ACQUISITION,60449.0,62698.0,12643.0
7026.0,FIRST FED. S & LA OF BRENHAM,SAVINGS ASSOCIATION,FEDERAL/STATE,BRENHAM, TX,9/21/1989 ,RTC,28430.0,TRANSFER,138946.0,148436.0,49995.0
7091.0,FIRST GARLAND FED. S & L,SAVINGS ASSOCIATION,FEDERAL/STATE,GARLAND, TX,9/21/1989 ,RTC,29660.0,ACQUISITION,106416.0,132423.0,31864.0
7069.0,PLANO S & L ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,PLANO, TX,9/21/1989 ,RTC,31398.0,TRANSFER,256137.0,274375.0,137568.0
7050.0,EAST TEXAS S & LA ASSOCIATION,SAVINGS ASSOCIATION,FEDERAL/STATE,TYLER, TX,9/21/1989 ,RTC,28187.0,ACQUISITION,213728.0,362365.0,63166.0
5994.0,THE FARMERS STATE BANK,COMMERCIAL BANK,STATE,LYMAN, NE,9/23/1989 ,BIF,16342.0,ACQUISITION,5570.0,5677.0,1005.0
5995.0,NATIONAL BANK OF ARIZONA,COMMERCIAL BANK,FEDERAL,SCOTTSDALE, AZ,9/28/1989 ,BIF,24889.0,ACQUISITION,15731.0,15792.0,3924.0
7116.0,COLORADO SAVINGS BANK,SAVINGS BANK,STATE,STERLING, CO,9/28/1989 ,RTC,32507.0,TRANSFER,12607.0,12259.0,1930.0
5997.0,STRAWN SECURITY BANK,COMMERCIAL BANK,STATE,STRAWN, TX,10/5/1989 ,BIF,5540.0,ACQUISITION,14126.0,14420.0,5392.0
7167.0,AMERICAN HOME S & L,SAVINGS ASSOCIATION,FEDERAL/STATE,EDMOND, OK,10/5/1989 ,RTC,32152.0,ACQUISITION,79523.0,96734.0,13662.0
7027.0,FAMILY SAVINGS BANK, FSB,SAVINGS BANK,STATE,SAPULPA, OK,10/5/1989 ,RTC,28550.0,TRANSFER,52815.0,50912.0,4090.0
5999.0,FIRST NATIONAL BANK OF VAIL,COMMERCIAL BANK,FEDERAL,VAIL, CO,10/5/1989 ,BIF,25190.0,ACQUISITION,3489.0,3569.0,792.0
5996.0,THE OLLA STATE BANK,COMMERCIAL BANK,STATE,OLLA, LA,10/5/1989 ,BIF,11787.0,ACQUISITION,22938.0,23569.0,3625.0
5998.0,COMMONWEALTH BANK,COMMERCIAL BANK,STATE,ARLINGTON, TX,10/5/1989 ,BIF,23999.0,ACQUISITION,79293.0,74931.0,16497.0
4100.0,FIRST BANK,COMMERCIAL BANK,STATE,COLORADO SPRINGS, CO,10/6/1989 ,BIF,21263.0,ACQUISITION,33967.0,35950.0,11156.0
4102.0,NORTH BANK, NATIONAL ASSOCIATION,COMMERCIAL BANK,FEDERAL,OKLAHOMA CITY, OK,10/12/1989 ,BIF,25751.0,ACQUISITION,12927.0,12368.0,1072.0
4101.0,CITIZENS BANK,COMMERCIAL BANK,STATE,GALVESTON, TX,10/12/1989 ,BIF,18876.0,ACQUISITION,32123.0,31307.0,5397.0
7420.0,COLUMBIA FEDERAL HOMESTEAD,SAVINGS ASSOCIATION,FEDERAL/STATE,METAIRIE, LA,10/13/1989 ,RTC,29918.0,PAYOUT,90065.0,96143.0,26807.0
7127.0,BANC IOWA FEDERAL SAVINGS BANK,SAVINGS BANK,STATE,CEDAR RAPIDS, IA,10/16/1989 ,RTC,29870.0,ACQUISITION,140208.0,161877.0,21908.0
7319.0,SURETY FEDERAL SAVINGS ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,EL PASO, TX,10/19/1989 ,RTC,31397.0,PAYOUT,244546.0,290998.0,69202.0
4103.0,PARK AVENUE BANK, NATIONAL ASSOC,COMMERCIAL BANK,FEDERAL,OKLAHOMA CITY, OK,10/19/1989 ,BIF,25698.0,ACQUISITION,14436.0,17919.0,776.0
