Year,Product,Origin,Destination / PADD,Mode of Transportation,Volume (m3),Volume (bbl),Value (CN$),Value (US$),Price (CN cents/L),Price (US cents/gallon)
1991,Butane,Saskatchewan,PADD II,Pipeline,2099.7,13206.69306,182043.99,161053.84268,8.67,29.035252
1991,Butane,Saskatchewan,PADD II,Railway,86502.2,544081.53756,9431643.6,8251001.65741,10.903356,36.106989
1991,Butane,Saskatchewan,PADD II,Total,93853.9,590322.26022,10179923.19,8905720.99156,10.846563,35.919354
1991,Butane,Saskatchewan,PADD II,Truck,5252.0,33034.0296,566235.6,493665.49147,10.781332,35.581136
1991,Butane,Saskatchewan,PADD IV,Railway,1307.2,8222.02656,135034.71,118806.29912,10.330072,34.404021
1991,Butane,Saskatchewan,PADD IV,Total,1307.2,8222.02656,135034.71,118806.29912,10.330072,34.404021
1991,Butane,Saskatchewan,PADD V,Railway,359.0,2258.0382,43284.0,37471.30317,12.056824,39.510824
1991,Butane,Saskatchewan,PADD V,Total,359.0,2258.0382,43284.0,37471.30317,12.056824,39.510824
1991,Butane,Saskatchewan,Total,Pipeline,2099.7,13206.69306,182043.99,161053.84268,8.67,29.035252
1991,Butane,Saskatchewan,Total,Railway,88168.4,554561.60232,9609962.31,8407279.2597,10.899553,36.095598
1991,Butane,Saskatchewan,Total,Total,95520.1,600802.32498,10358241.9,9061998.59385,10.844044,35.912116
1991,Butane,Saskatchewan,Total,Truck,5252.0,33034.0296,566235.6,493665.49147,10.781332,35.581136
1991,Butane,Total,PADD I,Railway,174041.9,1094688.74262,24276749.94,21211566.69201,13.948796,46.135017
1991,Butane,Total,PADD I,Total,174631.9,1098399.72462,24349319.94,21275902.36874,13.943225,46.118607
1991,Butane,Total,PADD I,Truck,590.0,3710.982,72570.0,64335.67673,12.3,41.27733
1991,Butane,Total,PADD II,Pipeline,385926.5,2427400.4997,52579076.32,45847533.73349,13.624116,44.970026
1991,Butane,Total,PADD II,Railway,1096739.8,6898273.99404,149861932.46,130835702.93714,13.66431,45.157971
1991,Butane,Total,PADD II,Total,1501839.3,9446268.82914,205486222.98,179323307.68991,13.682304,45.198607
