Airport Code,Year,Month,Domestic Flights,International Flights,Total Flights
LGA,2004,Jul,29823,1953,31776
LGA,1990,Dec,24243,1482,25725
JFK,1990,Sep,12195,8813,21008
LGA,2010,Jul,27686,2177,29863
LGA,1983,Sep,24061,0,24061
EWR,1981,Jul,15167,187,15354
LGA,2008,Jun,28630,1866,30496
EWR,1990,Aug,29577,2322,31899
SWF,2011,Nov,734,0,734
EWR,1992,May,30466,2229,32695
JFK,1989,Oct,12172,8249,20421
JFK,1993,Nov,16792,7885,24677
JFK,1985,May,14699,7339,22038
JFK,1978,Mar,15056,6523,21579
JFK,1993,Jan,17541,8311,25852
JFK,1978,Dec,15109,6412,21521
LGA,2009,Oct,27630,2088,29718
JFK,1999,Apr,16843,9244,26087
LGA,1999,Sep,25182,2010,27192
LGA,2011,Sep,28118,1901,30019
JFK,1994,Mar,17808,8241,26049
EWR,2007,Jun,27440,7707,35147
JFK,2006,Apr,18235,9956,28191
EWR,1991,May,27910,1774,29684
EWR,2006,Jul,29196,7862,37058
LGA,2005,Aug,31454,1978,33432
EWR,2014,Mar,25609,8021,33630
EWR,2001,Nov,26283,4447,30730
LGA,2011,Aug,27740,1789,29529
JFK,1988,May,14335,7991,22326
JFK,1977,May,14459,6942,21401
JFK,1999,Aug,18123,11449,29572
EWR,1977,Oct,11692,207,11899
LGA,1989,Feb,23924,1158,25082
EWR,1990,Jul,28430,2390,30820
LGA,2013,Oct,29336,3011,32347
EWR,1990,Feb,24570,1258,25828
ACY,2013,Jan,716,2,718
JFK,2007,Jun,24097,12150,36247
LGA,1997,Nov,24439,1920,26359
EWR,1993,Mar,29828,2117,31945
JFK,1993,Oct,17356,9034,26390
JFK,1983,Jan,14466,5569,20035
LGA,1998,Sep,25435,1540,26975
ACY,2013,Nov,796,2,798
LGA,2010,Mar,28064,2112,30176
LGA,1980,Sep,21271,0,21271
JFK,2001,Jun,16271,9826,26097
EWR,1992,Jun,30428,2414,32842
JFK,1997,Jul,19265,11056,30321
LGA,2009,Nov,26622,1933,28555
LGA,2003,Jul,29519,1681,31200
EWR,2005,Mar,30030,6216,36246
JFK,1989,Nov,11696,7539,19235
ACY,2013,Jun,908,5,913
JFK,1979,Mar,14914,6604,21518
EWR,2013,Nov,25544,6949,32493
SWF,2008,Jul,1241,0,1241
EWR,1986,Sep,30267,333,30600
EWR,2005,Aug,30340,7278,37618
LGA,1998,Feb,23996,1823,25819
JFK,2002,May,13893,8650,22543
JFK,1988,Jul,15163,9597,24760
JFK,2011,Jul,23061,14604,37665
JFK,1995,Nov,16505,9105,25610
LGA,1993,Aug,26250,1585,27835
JFK,2010,Apr,20120,10763,30883
JFK,1977,Oct,14245,7089,21334
LGA,1996,Jan,21750,1725,23475
EWR,2007,Oct,28013,7507,35520
EWR,1993,Oct,33157,2692,35849
LGA,1979,Apr,19994,0,19994
LGA,2005,Feb,27650,1900,29550
JFK,1988,Nov,11082,7411,18493
EWR,2014,Aug,26959,8438,35397
EWR,2008,Jul,29330,8576,37906
JFK,1979,Nov,13810,5906,19716
SWF,2007,Nov,1402,4,1406
EWR,1988,Mar,27566,901,28467
JFK,1999,May,17428,9775,27203
SWF,2012,Jul,794,0,794
