OBJECTID,ZCTA5CE10,GEOID10,CohortCount,GradCnt,GradRate,Shape__Area,Shape__Length
268.0,48760.0,2648760.0,NaN,NaN,NaN,7.83015062908691E8,146084.548390302
269.0,49253.0,2649253.0,NaN,NaN,NaN,7.63928140388306E8,150380.47758527
270.0,49689.0,2649689.0,NaN,NaN,NaN,2.24457638307715E9,334574.193552187
271.0,49634.0,2649634.0,NaN,NaN,NaN,4167127.49902344,9835.97376027818
272.0,49411.0,2649411.0,NaN,NaN,NaN,2.47865905964258E9,402829.915306518
273.0,48886.0,2648886.0,NaN,NaN,NaN,8.62707781218262E8,195177.69567812
274.0,49337.0,2649337.0,NaN,NaN,NaN,3.36460112148145E9,444770.72235697
275.0,48162.0,2648162.0,NaN,NaN,NaN,1.63549212617725E9,229774.28903264
276.0,48177.0,2648177.0,NaN,NaN,NaN,1.73316532049561E7,21881.1932405931
277.0,48191.0,2648191.0,NaN,NaN,NaN,4.55247133669189E8,123685.459756954
278.0,49339.0,2649339.0,NaN,NaN,NaN,8.57414822618164E8,167249.937406426
279.0,49349.0,2649349.0,NaN,NaN,NaN,5.49781184302441E9,496464.431450571
280.0,48331.0,2648331.0,NaN,NaN,NaN,2.59227572959473E8,79703.2198992476
281.0,48357.0,2648357.0,NaN,NaN,NaN,3.44050688084473E8,111017.497592962
282.0,49452.0,2649452.0,NaN,NaN,NaN,1.29173661512109E9,246924.647669972
283.0,49436.0,2649436.0,NaN,NaN,NaN,1.0741027499541E9,166107.219186911
284.0,49910.0,2649910.0,NaN,NaN,NaN,3.6673362760957E9,495779.335870528
285.0,48649.0,2648649.0,NaN,NaN,NaN,7.27020211842285E8,155936.506815862
286.0,48472.0,2648472.0,NaN,NaN,NaN,2.12900811510156E9,301154.220748627
287.0,49027.0,2649027.0,NaN,NaN,NaN,1.22369558474121E7,18666.8963610474
288.0,48109.0,2648109.0,NaN,NaN,NaN,2.72281873493652E7,57334.8130290702
289.0,48217.0,2648217.0,NaN,NaN,NaN,6.5088817434082E7,40091.344331484
290.0,49618.0,2649618.0,NaN,NaN,NaN,8.66545900932617E8,215752.56851861
291.0,49885.0,2649885.0,NaN,NaN,NaN,4.14461835398828E9,475076.926818819
292.0,49056.0,2649056.0,NaN,NaN,NaN,1.63143049524048E9,308219.294724099
293.0,48766.0,2648766.0,NaN,NaN,NaN,1.46699962872363E9,216112.843084501
294.0,49962.0,2649962.0,NaN,NaN,NaN,2.9782486807207E9,243576.654239504
295.0,49050.0,2649050.0,NaN,NaN,NaN,7.14082785692871E8,225137.561832875
296.0,48747.0,2648747.0,NaN,NaN,NaN,8.58321202297852E8,157064.172993813
297.0,48613.0,2648613.0,NaN,NaN,NaN,1.71133022992188E9,246074.912793382
298.0,49126.0,2649126.0,NaN,NaN,NaN,4.60278177028076E8,144027.334589869
299.0,49129.0,2649129.0,NaN,NaN,NaN,1.52726384278809E8,84574.2644474518
300.0,49029.0,2649029.0,NaN,NaN,NaN,9.43389111507324E8,191238.824282883
301.0,49033.0,2649033.0,NaN,NaN,NaN,9.10559606598145E8,204004.88241183
302.0,49718.0,2649718.0,NaN,NaN,NaN,1.94141627766797E9,358403.156265104
303.0,48848.0,2648848.0,91.0,84.0,0.9230769,1.97534306090186E9,354383.603293158
