CommoditiesGroup,Declaration,DeclarationYear,DeclarationQuarter,DeclarationMonth,DeclarationDay,CountryOfOrigin,ArrivalAtEntryPoint,Commodities,CommonNames,DocumentaryCheck,DocumentaryCheckResults,IdentityCheck,IdentityCheckResults,PhysicalCheck,PhysicalCheckResults,CommodityLaboratoryTest,CommodityLaboratoryTestResults,NetWeightKg,GrossWeightKg,NotAcceptable,NotAcceptableMeasureSelection,ReasonForRefusal,Decision,Year,Quarter,Month,Day
"Coffee, tea, mate and spices",2020-12-04,2020,Q4,12,4,India,2020-12-07,904219020,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,1080,1386,No,-,-,2020-12-09,2020,Q4,12,9
"Coffee, tea, mate and spices",2020-12-04,2020,Q4,12,4,India,2020-12-08,9081100,Neither crushed nor ground,Yes,Satisfactory,No,-,No,-,No,-,40,50,No,-,-,2020-12-11,2020,Q4,12,11
"Coffee, tea, mate and spices",2020-12-11,2020,Q4,12,11,India,2020-12-08,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,200,205,No,-,-,2020-12-11,2020,Q4,12,11
"Coffee, tea, mate and spices",2020-12-08,2020,Q4,12,8,India,2020-12-08,9042110,Sweet peppers,Yes,Satisfactory,No,-,No,-,No,-,60,96,No,-,-,2020-12-11,2020,Q4,12,11
"Coffee, tea, mate and spices",2020-12-07,2020,Q4,12,7,India,2020-12-10,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,18000,18180,No,-,-,2020-12-10,2020,Q4,12,10
"Coffee, tea, mate and spices",2020-12-07,2020,Q4,12,7,India,2020-12-10,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,2000,2020,No,-,-,2020-12-23,2020,Q4,12,23
"Coffee, tea, mate and spices",2020-12-09,2020,Q4,12,9,India,2020-12-08,904220019,Other,No,-,No,-,No,-,No,-,500,550,No,-,-,,2020,Q4,12,9
"Coffee, tea, mate and spices",2020-12-08,2020,Q4,12,8,India,2020-11-30,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,5000,5048,No,-,-,2020-12-09,2020,Q4,12,9
"Coffee, tea, mate and spices",2020-12-08,2020,Q4,12,8,China,2020-12-09,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,Yes,Satisfactory,No,-,No,-,No,-,20,166,No,-,-,2020-12-15,2020,Q4,12,15
"Coffee, tea, mate and spices",2020-12-08,2020,Q4,12,8,China,2020-12-09,9023000,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3|kg",Yes,Satisfactory,No,-,No,-,No,-,120,166,No,-,-,2020-12-15,2020,Q4,12,15
