DfENumber,SchoolName,Year,NetCapacity
8162176,Osbaldwick Primary,2011,210
8163904,Our Lady Queen of Martyrs Primary,2011,420
8162012,Park Grove Primary,2011,266
8162029,Poppleton Ousebank Primary,2011,420
8162014,Poppleton Road Primary,2011,390
8162058,Ralph Butterfield Primary,2011,326
8163212,Robert Wilkinson Primary,2011,564
8162349,Rufforth Primary,2011,70
8162016,Scarcroft Primary,2011,315
8162169,Skelton Primary,2011,140
8163401,St Aelred's RC Primary,2011,237
8163002,St Barnabas' CE Primary,2011,140
8163402,St George's RC Primary,2011,192
8163305,St Lawrence's CE Primary,2011,210
8163222,St Mary's CE Primary,2011,105
8163156,St Oswald's CE Primary,2011,294
8163003,St Paul's CE Primary,2011,175
8163403,St Wilfrid's RC Primary,2011,267
8162227,Stockton on the Forest Primary,2011,84
8162429,Tang Hall Primary,2011,210
8162017,Westfield Primary,2011,602
8163380,Wheldrake with Thorganby CE Primary,2011,210
8162240,Wigginton Primary,2011,280
8162027,Woodthorpe Primary,2011,450
8162015,Yearsley Grove Primary,2011,318
8164703,York High,2011,990
8162000,Acomb Primary,2012,243
8164702,All Saints' RC,2012,1232
8164500,Archbishop Holgate's CE,2012,810
8163229,Archbishop of York's CE Junior,2012,240
8162431,Badger Hill Primary,2012,150
8162386,Bishopthorpe Infant,2012,170
8164227,Burnholme Community College,2012,600
8162024,Burton Green Primary,2012,210
8164003,Canon Lee,2012,950
8162003,Carr Infant,2012,175
8162002,Carr Junior,2012,240
8162018,Clifton Green Primary,2012,350
8162430,Clifton With Rawcliffe Primary,2012,630
8162013,Copmanthorpe Primary,2012,360
8162006,Derwent Infant,2012,120
8162005,Derwent Junior,2012,150
8162007,Dringhouses Primary,2012,315
8163151,Dunnington CE Primary,2012,210
8163152,Elvington CE Primary,2012,140
8162008,Fishergate Primary,2012,210
8164153,Fulford Secondary,2012,1349
8162009,Haxby Road Primary,2012,210
8162241,Headlands Primary,2012,232
8162001,Hempland Primary,2012,420
8163302,Heworth CE Primary,2012,128
8162028,Hob Moor Community Primary,2012,270
8162180,Huntington Primary,2012,420
8164063,Huntington Secondary,2012,1487
8164508,Joseph Rowntree,2012,1340
8162011,Knavesmire Primary,2012,210
8162428,Lakeside Primary,2012,420
8163158,Lord Deramore's Primary,2012,210
8164602,Manor CE Secondary,2012,900
8164229,Millthorpe Secondary,2012,1056
8163159,Naburn CE Primary,2012,83
8163901,New Earswick Primary,2012,210
8162176,Osbaldwick Primary,2012,210
8163904,Our Lady Queen of Martyrs Primary,2012,420
8162012,Park Grove Primary,2012,266
8162029,Poppleton Ousebank Primary,2012,420
8162014,Poppleton Road Primary,2012,390
8162058,Ralph Butterfield Primary,2012,326
8163212,Robert Wilkinson Primary,2012,564
8162349,Rufforth Primary,2012,70
8162016,Scarcroft Primary,2012,315
8162169,Skelton Primary,2012,140
