Number and types of applications by all account customers,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
Metrics, ,,,,,,,,,,,
Calendar Month,Jul-21,,,,,,,,,,,
Account Customer,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
ROYAL MAIL GROUP LTD,0,0,0,0,0,0,0,0,0,3,0,3
ROYAL NATIONAL LIFEBOAT INST.,0,1,0,3,0,0,0,0,0,3,1,8
ROYCE LEGAL LTD,0,0,0,1,0,0,0,0,0,2,1,4
ROYCE MARSHALL & CO,0,0,0,0,0,0,0,0,0,12,3,15
ROYCE PEELING GREEN LIMITED,0,0,0,0,0,0,0,0,0,7,1,8
ROYDS WITHY KING LLP,10,6,12,258,160,1,55,0,40,729,279,1550
ROYDS WITHY KING LLP,1,1,0,4,7,0,0,0,0,93,22,128
ROYSTON JAMES BRIEN,0,0,0,0,0,0,0,0,0,0,1,1
ROYTHORNES LIMITED,6,5,26,157,83,1,72,0,21,640,205,1216
ROZITA HUSSAIN SOLICITORS,0,0,0,1,0,0,0,0,0,0,0,1
RPC SERVICES LTD,0,0,0,0,0,0,0,0,0,4,0,4
RPW LEGAL LIMITED,0,0,0,3,0,0,0,0,0,51,0,54
RR LEONARD & SON T/A LEONARDS,0,0,0,0,0,0,0,0,0,23,2,25
RRL WILLS LIMITED,0,0,0,3,0,0,0,0,0,4,0,7
RSG REAL ESTATE LIMITED,0,0,0,0,0,0,0,0,0,5,2,7
RSH GROUP HOLDINGS LTD,0,0,0,0,0,0,0,0,0,7,7,14
RSK ADAS LTD,0,0,0,0,0,0,0,0,0,73,1,74
RSL-LAW,0,0,0,6,0,0,0,0,0,2,1,9
RSM UK HOLDINGS LIMITED,0,0,0,0,0,0,0,0,0,1,14,15
RSM UK HOLDINGS LIMITED,1,0,0,6,0,0,0,0,0,48,13,68
RSW LAW LIMITED,0,0,0,4,2,0,0,0,7,39,18,70
RUBAN SELVANAYAGAM,0,0,0,0,0,0,0,0,0,4,0,4
RUBIN LEWIS O'BRIEN,5,1,3,53,12,0,0,0,3,21,7,105
RUBRIC LOIS KING & CO (RLK SOLICITORS),0,0,0,15,6,0,0,0,0,24,9,54
RUDDS,1,0,1,14,0,0,0,0,0,3,4,23
RUDLINGS SOLICITORS,2,4,4,63,40,0,8,0,8,126,52,307
RUGBY BOROUGH COUNCIL,0,0,0,2,0,0,0,0,0,43,13,58
RUMBALL SEDGWICK,0,0,0,0,0,0,0,0,0,1,4,5
RUNDLEWALKER (DUDMAN SHAW T/A),0,0,0,33,11,0,1,0,0,24,15,84
RUNNYMEDE BOROUGH COUNCIL,0,0,0,2,0,0,0,0,0,15,1,18
RUPERT BEAR MURRAY DAVIES,0,0,0,1,0,0,0,0,0,3,0,4
RUPERT COLES LIMITED,0,0,0,0,0,0,0,0,0,2,0,2
RUPERT GREENLEES,0,0,0,0,0,0,0,0,0,2,1,3
RUPERT JONES,0,0,0,0,0,0,0,0,0,5,0,5
RUPERT WOOD & SON,2,3,0,40,25,0,1,0,1,73,20,165
RURAL INSIGHT LIMITED,0,0,0,0,0,0,0,0,0,8,1,9
RURAL LAW,1,0,0,5,0,0,0,0,0,2,3,11
RUSHCLIFFE BOROUGH COUNCIL,0,0,0,5,0,0,0,0,0,56,2,63
RUSHCLOSE LIMITED,0,0,0,0,0,0,0,0,0,2,2,4
RUSHFORD & MCCARVILLE LLP,0,0,0,4,5,1,0,0,0,35,17,62
RUSHMOOR BOROUGH COUNCIL,0,0,0,2,0,2,0,0,0,69,1,74
RUSHTONS,0,0,0,0,0,0,0,0,0,7,0,7
RUSSELL & CO (MALVERN),2,1,2,24,10,0,0,0,2,60,22,123
RUSSELL & RUSSELL,14,21,12,449,614,1,47,0,35,1221,352,2766
RUSSELL EVANS RAHAMAN LIMITED,0,0,0,4,0,0,0,0,0,0,0,4
RUSSELL MARKS LIMITED,0,0,0,0,0,0,0,0,0,1,0,1
RUSSELL WISE SOLICITORS LTD,0,0,0,1,0,0,0,0,0,0,0,1
RUSSELL WORTH LIMITED,0,0,0,0,0,0,0,0,0,6,0,6
RUSSELL-COOKE LLP,0,12,3,186,73,0,22,0,5,623,154,1078
RUSSELLS (E4 6BN),0,1,0,17,7,0,1,0,0,58,14,98
RUSSELLS SOLICITORS (W1B 5LJ),0,0,0,14,5,1,1,0,0,36,11,68
RUTH MOORES & CO,1,0,0,5,0,0,0,0,0,3,0,9
RUTH THOMAS & CO,0,0,0,0,3,0,2,0,0,14,2,21
RUTHERFORDS LLP,2,2,0,46,25,0,4,0,2,102,39,222
RUTLAND DISTRICT COUNCIL,0,0,0,1,0,0,0,0,0,20,0,21
RUTTER & RUTTER,0,0,0,11,6,0,0,0,3,60,22,102
RUTTERS,1,0,3,15,3,0,1,0,2,9,3,37
RVH SOLICITORS,0,0,0,0,0,0,0,0,0,2,2,4
RWE GENERATION UK PLC,0,0,0,0,0,0,0,0,0,5,3,8
RYAN PROPERTY LAW LLP,1,2,0,53,39,5,6,0,6,99,42,253
RYDER & DUTTON LTD,0,0,0,0,0,0,0,0,0,17,0,17
RYDON GROUP LTD,0,0,0,0,0,0,0,0,0,9,3,12
RYEDALE DISTRICT COUNCIL,0,0,0,0,0,0,0,0,0,21,0,21
S & S LEGIS LLP,0,0,0,1,3,0,0,0,1,8,3,16
S A YOUNIS SOLICITOR,0,0,0,16,8,0,1,0,0,10,0,35
S ABRAHAM SOLICITORS,0,0,0,4,3,0,1,0,0,7,7,22
S B LEGAL LIMITED,0,0,0,2,0,0,0,0,0,4,0,6
S C LEGAL,0,0,1,1,0,0,0,0,0,9,24,35
S D ROSSER & CO,1,0,0,12,3,0,0,0,1,41,16,74
S E LAW LIMITED,0,0,0,3,0,0,0,0,0,0,0,3
S J SMITH LETTINGS LTD,0,0,0,0,0,0,0,0,0,94,0,94
S KERSHAW & SONS,0,0,0,0,0,0,0,0,0,22,9,31
S L RENTAL LTD,0,0,0,0,0,0,0,0,0,6,0,6
S M SOLICITORS,0,0,1,1,0,0,0,0,1,2,0,5
S NORTON & CO LTD,0,0,0,0,0,0,0,0,0,3,0,3
S P ALLIOTT NOTARY PUBLIC,0,0,0,1,0,0,0,0,0,4,0,5
S S BASI & CO,0,0,0,6,0,0,1,0,0,7,0,14
S SATHA & CO,0,4,0,12,14,0,4,0,0,17,5,56
S V WADSWORTH & CO,0,3,2,55,14,0,0,0,1,117,52,244
S-RM INTELLIGENCE&RISK CONSULT LTD,0,0,0,0,0,0,0,0,0,25,1,26
S. WHITAKER LTD,0,0,0,0,0,0,0,0,0,5,4,9
SA LAW INCORPORATING PICKWORTHS,0,5,2,54,38,1,5,2,9,203,71,390
SABEERS STONE GREENE LLP,0,0,0,3,9,0,0,0,0,11,1,24
SABLE LEIGH PROPERTY LIMITED,0,0,0,0,0,0,0,0,0,31,3,34
SABZ SOLICITORS LLP,0,0,1,11,13,0,0,0,0,11,3,39
SACKVILLES,0,2,1,6,0,0,0,0,0,0,0,9
SADDLERS PROPERTY SERVICES LIMITED,0,0,0,0,0,0,0,0,0,54,0,54
SADDLEWOOD PROPERTY LTD,0,0,0,0,0,0,0,0,0,2,1,3
SAFE PROPERTY MGMT INTL LIMITED,0,0,0,0,0,0,0,0,0,8,7,15
SAFESTORE PLC,0,0,0,0,0,0,0,0,0,2,0,2
SAFFERY CHAMPNESS LLP,0,0,0,0,0,0,0,0,0,70,0,70
SAFFRON BUILDING SOCIETY,0,0,0,13,1,0,0,0,0,1,0,15
SAFFRON HOUSING TRUST LIMITED,0,0,0,0,0,0,0,0,0,1,0,1
SAFFRON SOLICITORS,0,1,1,7,0,0,0,0,0,8,3,20
SAGACITY SOLUTIONS LTD,0,0,0,0,0,0,0,0,0,35,0,35
SAGARS ACCOUNTANTS LTD,0,0,0,0,0,0,0,0,0,49,0,49
SAGE HOUSING LIMITED,0,0,0,1,0,0,0,0,0,19,10,30
SAGE SOLICITORS,0,0,0,1,0,0,0,0,0,0,0,1
SAIFEE LEGAL LIMITED,0,1,0,1,9,0,2,0,0,21,2,36
SAINI LAW OFFICE SOLICITORS,0,0,0,0,0,0,0,0,0,1,0,1
SAINT & CO,0,0,0,0,0,0,0,0,0,11,0,11
SAINT MARTIN LAW LIMITED,0,3,0,1,0,0,0,0,0,1,1,6
SAL & CO,0,6,1,56,36,0,9,0,1,56,27,192
SALEHS LLP,0,2,1,75,59,0,10,0,4,171,74,396
SALENA DAWSON & CO,0,0,0,0,0,0,0,0,0,1,0,1
SALFORD CITY COUNCIL,0,0,0,0,0,0,0,0,0,136,27,163
SALINGER SOLICITORS & NOTARY,0,0,0,0,2,0,0,0,0,1,0,3
SALISBURY DIOCESAN BOARD OF FIN,0,0,0,0,0,0,0,0,0,2,0,2
SALISBURY LAW,0,0,1,5,3,0,0,0,0,21,7,37
SALLY BOTHAM ESTATES LIMITED,0,0,0,0,0,0,0,0,0,30,0,30
SALMON DEVELOMENTS LIMITED,0,0,0,0,0,0,0,0,0,14,0,14
SALMONS,1,0,1,28,19,0,0,0,1,35,13,98
SALT GROUP MANAGEMENT LIMITED,0,0,0,0,0,0,0,0,0,2,12,14
SALTER  KELLY,1,1,1,15,8,0,1,0,2,20,6,55
SALTER REX,0,0,0,0,0,0,0,0,0,13,1,14
SALUSBURYS HARDING & BARLOW,1,2,0,68,13,0,3,0,2,64,24,177
SAM BALSDON,0,0,0,0,0,0,0,0,0,0,2,2
SAM HAWKING & CO,6,0,0,75,63,0,4,0,3,143,87,381
SAM LODH SOLICITOR,0,0,0,1,1,0,0,0,0,9,3,14
SAMANTHA DENHAM SOLICITORS,0,0,0,5,3,0,1,0,0,13,8,30
SAMBLE BURTON & WORTH,0,0,1,18,9,0,0,0,0,31,0,59
SAMPSON COWARD,5,2,4,48,33,0,3,0,0,130,63,288
SAMUEL AND CO SOLICITORS,0,0,0,0,2,0,3,0,0,4,0,9
SAMUEL DAVID WILSON,0,0,0,0,0,0,0,0,0,33,0,33
SAMUEL LAUGHTON,0,0,0,0,0,0,0,0,0,7,5,12
SAMUEL PALIN SOLICITOR,0,0,1,6,3,0,1,0,0,7,1,19
SAMUEL PHILLIPS & CO,1,3,7,27,52,0,1,0,3,71,31,196
SAMUELS & CO SOLICITORS,0,0,0,1,0,0,0,0,1,11,2,15
SAMUELS SOLICITORS,0,2,0,34,18,0,1,0,2,64,24,145
SANCTUARY HOUSING ASSOCIATION,0,0,0,19,4,0,0,0,6,391,197,617
SANDERS,1,1,0,13,17,1,1,0,3,50,16,103
SANDERS WITHERSPOON LLP,0,0,0,9,7,0,1,0,0,23,8,48
SANDERSON MCCREATH & EDNEY,0,0,1,20,0,0,0,0,0,1,1,23
SANDERSON WEATHERALL LLP,0,0,0,0,0,0,0,0,0,110,108,218
SANDERSONS RESIDENTIAL LTD,0,0,0,0,0,0,0,0,0,178,0,178
SANDERSONS SOLICITORS,5,2,2,43,58,0,39,0,3,115,41,308
SANDFORDS LONDON LIMITED,0,0,0,0,0,0,0,0,0,54,0,54
SANDHILL SOLICITORS,0,3,0,7,4,0,1,0,0,26,5,46
SANDHU & SHAH,0,1,0,4,2,0,0,0,0,9,3,19
SANDOM ROBINSON,0,2,0,19,2,0,3,0,0,10,5,41
SANDPIPER TKL LIMITED,0,0,0,0,0,0,0,0,0,5,1,6
SANDRA DAVIDSON ESTATE AGENTS LTD,0,0,0,0,0,0,0,0,0,13,0,13
SANDROCK DEVELOPMENTS LTD,0,0,0,0,0,0,0,0,0,81,12,93
SANDROVE BRAHAM SEREVICES LIMITED,0,0,0,0,0,0,0,0,0,2,2,4
SANDVIK OSPREY LIMITED,0,0,0,0,0,0,0,0,0,1,0,1
SANDWELL METROPOLITAN  BOROUGH COUNCIL,1,0,0,2,0,0,0,0,0,193,8,204
SANTANDER UK,0,0,0,42,6,0,0,0,1,255,46,350
SANTANDER UK,0,0,0,107,1,0,0,0,0,166,12,286
SANTANDER UK,0,0,0,2,0,0,0,0,0,129,18,149
SANTANDER UK,0,0,0,4950,6,0,0,0,0,243,12,5211
SANTANDER UK,0,0,0,0,0,0,0,0,0,3,1,4
SANTERS,0,0,0,2,2,0,0,0,0,5,1,10
SAPPHIRE PROPERTY MANAGEMENT LTD,0,0,0,0,0,0,0,0,0,18,2,20
SARA BINNING SOLICITORS,0,0,0,1,3,0,0,0,0,1,1,6
SARACENS SOLICITORS,0,3,0,19,25,0,0,0,2,49,21,119
SARAH BENTLEY LTD,0,0,0,0,0,0,0,0,0,1,0,1
SARAH DAWKINS,0,0,0,0,0,0,0,0,0,1,0,1
SARAH DIXON & CO SOLICITORS,0,0,0,0,0,0,0,0,0,10,0,10
SARAH DWIGHT,2,0,0,33,22,0,0,0,0,35,17,109
SARAH GRANT SOLICITORS,0,0,0,0,0,0,0,0,1,7,2,10
SARAH JANE PERT,0,0,0,21,9,0,1,0,1,57,27,116
SARAH VIBEKE WILSON,0,0,0,0,0,0,0,0,0,1,0,1
SARGINSONS LAW LLP,5,0,2,49,29,0,1,0,0,52,28,166
SARUM PROPERTIES LIMITED,0,0,0,0,0,0,0,0,0,66,21,87
SAS DANIELS,18,3,13,258,210,2,31,0,21,523,235,1314
SAUL GERRARD SURVEYORS LIMITED,0,0,0,0,0,0,0,0,0,49,20,69
SAUL MARINE & CO,0,0,0,3,0,0,0,0,0,22,11,36
SAULET TOWNSEND,0,7,0,20,10,0,2,0,0,68,23,130
SAUNDERS & PARTNERS LLP,0,0,0,0,0,0,0,0,0,23,0,23
SAUNDERS ROBERTS SOLICITORS,2,0,0,14,12,0,2,0,3,37,13,83
SAV DEVELOPMENT LTD,0,0,0,0,0,0,0,0,0,19,5,24
SAVAGE CRANGLE SOLICITORS,1,1,1,18,10,0,1,0,0,88,27,147
SAVAGE SILK LIMITED,0,0,1,15,9,0,1,0,0,32,11,69
SAVAS & SAVAGE SOLICITORS LIMITED,0,0,0,0,0,0,0,0,1,4,2,7
SAVILLS (L & P) LIMITED,0,0,0,0,0,0,0,0,0,62,0,62
SAVILLS (L&P) LIMITED,0,0,0,0,0,0,0,0,0,378,13,391
SAVILLS (L&P) LTD,0,0,0,0,0,0,0,0,0,32,0,32
SAVILLS (L&P) LTD,0,0,0,0,0,0,0,0,0,59,0,59
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,7,0,7
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,8,0,8
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,38,0,38
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,87,5,92
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,2,0,2
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,71,0,71
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,65,0,65
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,14,0,14
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,1,1,2
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,65,1,66
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,15,0,15
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,29,1,30
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,14,1,15
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,2,0,2
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,40,0,40
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,82,0,82
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,1,1,2
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,19,4,23
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,617,194,811
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,92,32,124
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,29,0,29
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,38,0,38
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,34,1,35
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,54,2,56
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,27,0,27
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,27,0,27
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,37,1,38
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,85,23,108
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,57,0,57
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,26,0,26
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,50,0,50
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,12,0,12
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,13,0,13
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,36,0,36
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,58,1,59
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,59,0,59
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,11,0,11
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,71,0,71
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,28,0,28
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,221,0,221
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,164,4,168
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,42,0,42
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,38,0,38
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,16,0,16
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,38,1,39
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,89,0,89
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,103,3,106
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,85,1,86
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,40,2,42
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,85,0,85
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,11,0,11
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,129,0,129
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,84,5,89
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,1,149,5,155
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,2,132,8,142
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,45,2,47
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,12,0,12
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,47,0,47
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,53,0,53
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,28,0,28
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,102,6,108
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,9,0,9
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,51,0,51
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,99,1,100
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,95,0,95
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,44,0,44
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,53,0,53
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,31,0,31
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,33,0,33
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,157,5,162
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,130,1,131
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,27,0,27
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,13,2,15
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,177,2,179
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,144,0,144
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,13,0,13
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,54,2,56
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,57,0,57
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,416,2,418
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,45,1,46
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,64,0,64
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,6,1,7
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,188,11,199
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,5,0,5
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,59,4,63
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,56,0,56
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,33,0,33
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,50,0,50
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,61,0,61
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,64,0,64
SAVOY STEWART,0,0,0,0,0,0,0,0,0,13,4,17
SAWARN & CO LTD,0,0,0,1,2,0,0,0,0,9,3,15
SAWYER & CO. SALES & LETTINGS LTD,0,0,0,0,0,0,0,0,0,29,4,33
SAWYER FIELDING LTD,0,0,0,0,0,0,0,0,0,67,35,102
SAXON WEALD HOMES LIMITED,0,0,0,0,0,0,0,0,0,5,3,8
SAXONS LETTINGS & MANAGEMENT LTD,0,0,0,0,0,0,0,0,0,1,0,1
SAXTON MEE COMMERCIAL LIMITED,0,0,0,0,0,0,0,0,0,11,4,15
SAYER MOORE & CO,0,0,2,7,9,0,0,0,0,19,6,43
SAYERS,1,7,0,20,9,0,0,0,0,42,28,107
SB CONVEYANCING LTD,0,0,0,10,6,0,1,0,0,2,1,20
SBK PROPERTY CONSULTANTS LTD,0,0,0,0,0,0,0,0,0,16,0,16
SBP LAW,0,3,0,36,19,0,3,0,2,50,19,132
SCAIFF LLP,1,0,0,16,9,0,2,0,1,28,15,72
SCANCROWN LIMITED,0,0,0,0,0,0,0,0,0,14,0,14
SCANLANS,0,0,0,18,17,0,0,0,0,41,14,90
SCANLANS PROPERTY MANAGEMENT LLP,0,0,0,0,0,0,0,0,0,14,12,26
SCARBOROUGH BOROUGH COUNCIL,0,0,0,1,0,0,0,0,0,49,3,53
SCHILLINGS INTERNATIONAL LLP,0,0,0,0,0,0,0,0,0,11,3,14
SCHNEIDER FINANCIAL SOLUTIONS LTD,0,0,0,0,0,0,0,0,0,8,0,8
SCHNEIDER INVESTMENT ASSOCIATES,0,0,0,0,0,0,0,0,0,18,0,18
SCHOFIELD SURVEYORS LTD,0,0,0,0,0,0,0,0,0,12,0,12
SCHOFIELD SWEENEY LLP,6,7,9,193,107,0,17,0,10,337,94,780
SCJ SOLICITORS,4,1,7,79,0,0,0,0,0,0,0,91
SCOTT & STAPLETON LETTINGS LIMITED,0,0,0,0,0,0,0,0,0,9,5,14
SCOTT & WILKINSON LLP,0,0,0,0,0,0,0,0,0,7,0,7
SCOTT ANDREWS TRADING AS PALI 22,0,0,0,0,0,0,0,0,0,3,0,3
SCOTT BAILEY LLP,1,5,0,58,10,0,1,0,0,135,58,268
SCOTT COHEN SOLICITORS,0,0,0,0,0,0,0,0,0,45,6,51
SCOTT DAVIDSON CHART SURVRS LTD,0,0,0,0,0,0,0,0,0,6,0,6
SCOTT DUFF & CO,2,1,5,56,25,0,6,0,4,82,49,230
SCOTT ESTATES MANAGEMENT LIMITED,0,0,0,0,0,0,0,0,0,1,3,4
SCOTT FOWLER,1,0,0,2,0,0,0,0,0,0,0,3
SCOTT HYMAN & CO,2,1,1,15,16,0,1,0,0,15,7,58
SCOTT REES AND CO,0,1,2,23,42,0,2,0,0,66,38,174
SCOTT RICHARDS & CO,2,2,0,45,1,0,0,0,2,0,1,53
SCOTT ROWE,2,0,3,39,2,0,3,0,1,65,25,140
SCOTT WALBY LLP,0,0,1,4,4,0,1,0,0,21,12,43
SCOTT-MONCRIEFF & ASSOCIATES LTD,0,0,0,0,2,0,0,0,0,17,3,22
SCOTTISH AND SOUTHERN ENERGY GROUP PLC (SSE),3,2,0,41,3,0,85,0,20,1311,265,1730
SCOTTISH POWER ENERGY NETWORKS,0,0,0,0,0,0,0,0,0,377,75,452
SCOTTS WRIGHT,1,0,0,41,0,0,0,0,2,0,2,46
SCREWFIX DIRECT LIMITED,0,0,0,0,0,0,0,0,0,5,2,7
"SCRIVEN & CO, AUCTIONEERS, SURVEY",0,0,0,0,0,0,0,0,0,4,0,4
SCRIVENER TIBBATTS LTD,0,0,0,0,0,0,0,0,0,129,71,200
SCURFIELD AND ASSOCIATES LTD,0,0,0,0,0,0,0,0,0,1,0,1
SDG SOLICITORS,0,0,0,0,0,0,0,0,0,4,0,4
SDKA LTD,0,0,0,1,3,0,0,0,0,31,4,39
SDL AUCTIONS LIMITED,0,0,0,0,0,0,0,0,0,105,1,106
SDM LEGAL LIMITED,0,0,0,0,0,0,0,0,0,3,3,6
SDP,0,0,0,0,0,0,0,0,0,1,0,1
SDR SPECIALISTS LTD,0,0,0,0,0,0,0,0,0,142,0,142
SEAKENS SOLICITORS,0,0,0,2,1,0,1,0,0,16,6,26
SEALE AND SANDS PARISH COUNCIL,0,0,0,0,0,0,0,0,0,2,3,5
SEALEYS ESTATE AGENTS LIMITED,0,0,0,0,0,0,0,0,0,66,0,66
SEARCH SMART LIMITED,0,0,0,0,0,0,0,0,0,33,0,33
SEARCHES UK LTD,0,0,0,0,0,0,0,0,0,1,0,1
SEARCHFLOW LIMITED,0,0,0,0,2,0,2,0,15,2,246,267
SEARCHLAND LTD,0,0,0,0,0,0,0,0,0,901,0,901
SEARCHMOVE,0,0,0,0,0,0,0,0,21,0,0,21
SEARL LAND AND DEVELOPMENT AGENTS,0,0,0,0,0,0,0,0,0,5,0,5
SEARS PROPERTY LIMITED,0,0,0,0,0,0,0,0,0,5,0,5
SEARS TOOTH SOLICITORS,0,0,0,1,0,0,0,0,0,4,0,5
SEATONS,4,3,8,128,111,0,20,0,1,228,103,606
SEAWARD PROPERTIES LIMITED,0,0,0,0,0,0,0,0,0,1,0,1
SEBASTIAN ROCHE LTD,0,0,0,0,0,0,0,0,0,11,7,18
SEBASTIANS,1,0,0,8,0,0,2,0,0,28,11,50
SECURE FINANCIAL MANAGEMENT LTD,0,0,0,0,0,0,0,0,0,21,0,21
SECURE WILL CO (DONCASTER) LTD,0,0,0,0,0,0,0,0,0,30,0,30
SECURED LENDING OPTIONS LTD,0,0,0,0,0,0,0,0,0,53,0,53
SECURITY SOLUTIONS YES LTD,0,0,0,0,0,0,0,0,0,11,0,11
SEDDON GROUP LIMITED,0,0,0,6,1,0,3,0,2,46,9,67
SEDDON THOMSON SOLICITORS,0,0,0,3,3,0,1,0,0,9,1,17
SEDDONS,0,15,1,132,100,5,25,0,39,414,152,883
SEDDONS LETTINGS LIMITED,0,0,0,0,0,0,0,0,0,19,1,20
SEDGEMOOR DISTRICT COUNCIL,2,0,0,3,0,0,0,0,0,20,10,35
SEDGWICK INTERNATIONAL UK,0,0,0,0,0,3,0,0,0,231,6,240
SEEL AND COMPANY LIMITED,0,0,0,0,0,0,0,0,0,6,2,8
SEFTON METROPOLITAN BOROUGH COUNCIL,0,0,2,14,0,0,1,0,1,145,5,168
SEHGAL & CO,0,1,1,37,18,0,1,0,0,80,15,153
