Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Broilers,Conditions,Bruising/Fractures,2020-10,Wales,1855.0,8210603.0,4.0,0.023
Broilers,Conditions,Bruising/Fractures,2020-10,Wales,4024.0,8210603.0,4.0,0.049
Broilers,Conditions,Bruising/Fractures,2020-11,Wales,3747.0,8299987.0,4.0,0.045
Broilers,Conditions,Bruising/Fractures,2020-11,Wales,1741.0,8299987.0,4.0,0.021
Broilers,Conditions,Bruising/Fractures,2020-12,Wales,3073.0,7903454.0,4.0,0.039
Broilers,Conditions,Bruising/Fractures,2020-12,Wales,1276.0,7903454.0,4.0,0.016
Broilers,Conditions,Cellulitis,2020-10,England,13477.0,7.1448753E7,45.0,0.019
Broilers,Conditions,Cellulitis,2020-10,England,203342.0,7.1448753E7,45.0,0.285
Broilers,Conditions,Cellulitis,2020-11,England,5609.0,6.827968E7,44.0,0.008
Broilers,Conditions,Cellulitis,2020-11,England,232487.0,6.827968E7,44.0,0.34
Broilers,Conditions,Cellulitis,2020-12,England,221382.0,6.7112465E7,44.0,0.33
Broilers,Conditions,Cellulitis,2020-12,England,7242.0,6.7112465E7,44.0,0.011
Broilers,Conditions,Cellulitis,2020-10,Wales,25287.0,8210603.0,4.0,0.308
Broilers,Conditions,Cellulitis,2020-10,Wales,13.0,8210603.0,4.0,0.0
Broilers,Conditions,Cellulitis,2020-11,Wales,23033.0,8299987.0,4.0,0.278
Broilers,Conditions,Cellulitis,2020-12,Wales,19461.0,7903454.0,4.0,0.246
Broilers,Conditions,Contamination,2020-10,England,66023.0,7.1448753E7,45.0,0.092
Broilers,Conditions,Contamination,2020-10,England,55537.0,7.1448753E7,45.0,0.078
Broilers,Conditions,Contamination,2020-11,England,50769.0,6.827968E7,44.0,0.074
Broilers,Conditions,Contamination,2020-11,England,51698.0,6.827968E7,44.0,0.076
Broilers,Conditions,Contamination,2020-12,England,47177.0,6.7112465E7,44.0,0.07
Broilers,Conditions,Contamination,2020-12,England,48259.0,6.7112465E7,44.0,0.072
Broilers,Conditions,Contamination,2020-10,Wales,8171.0,8210603.0,4.0,0.1
Broilers,Conditions,Contamination,2020-11,Wales,9543.0,8299987.0,4.0,0.115
Broilers,Conditions,Contamination,2020-12,Wales,5281.0,7903454.0,4.0,0.067
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2020-10,England,65282.0,7.1448753E7,45.0,0.091
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2020-11,England,62912.0,6.827968E7,44.0,0.092
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2020-12,England,81845.0,6.7112465E7,44.0,0.122
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2020-10,Wales,6598.0,8210603.0,4.0,0.08
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2020-11,Wales,6369.0,8299987.0,4.0,0.077
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2020-12,Wales,6519.0,7903454.0,4.0,0.082
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2020-10,England,13682.0,7.1448753E7,45.0,0.019
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2020-11,England,13874.0,6.827968E7,44.0,0.02
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2020-12,England,13422.0,6.7112465E7,44.0,0.02
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2020-10,Wales,3005.0,8210603.0,4.0,0.037
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2020-11,Wales,2818.0,8299987.0,4.0,0.034
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2020-12,Wales,3543.0,7903454.0,4.0,0.045
Broilers,Conditions,Dermatitis,2020-10,England,92.0,7.1448753E7,45.0,0.0
Broilers,Conditions,Dermatitis,2020-10,England,9946.0,7.1448753E7,45.0,0.014
Broilers,Conditions,Dermatitis,2020-11,England,9902.0,6.827968E7,44.0,0.015
Broilers,Conditions,Dermatitis,2020-12,England,11632.0,6.7112465E7,44.0,0.017
Broilers,Conditions,Dermatitis,2020-12,England,4.0,6.7112465E7,44.0,0.0
Broilers,Conditions,Dermatitis,2020-10,Wales,2.0,8210603.0,4.0,0.0
Broilers,Conditions,Dermatitis,2020-10,Wales,1709.0,8210603.0,4.0,0.021
Broilers,Conditions,Dermatitis,2020-11,Wales,16.0,8299987.0,4.0,0.0
Broilers,Conditions,Dermatitis,2020-11,Wales,1598.0,8299987.0,4.0,0.019
Broilers,Conditions,Dermatitis,2020-12,Wales,5.0,7903454.0,4.0,0.0
Broilers,Conditions,Dermatitis,2020-12,Wales,1559.0,7903454.0,4.0,0.02
Broilers,Conditions,Emaciation,2020-10,England,12573.0,7.1448753E7,45.0,0.018
Broilers,Conditions,Emaciation,2020-11,England,11162.0,6.827968E7,44.0,0.016
Broilers,Conditions,Emaciation,2020-12,England,12710.0,6.7112465E7,44.0,0.019
Broilers,Conditions,Emaciation,2020-10,Wales,2564.0,8210603.0,4.0,0.031
Broilers,Conditions,Emaciation,2020-11,Wales,2763.0,8299987.0,4.0,0.033
Broilers,Conditions,Emaciation,2020-12,Wales,2531.0,7903454.0,4.0,0.032
Broilers,Conditions,Hepatitis,2020-10,England,70615.0,7.1448753E7,45.0,0.099
Broilers,Conditions,Hepatitis,2020-10,England,29307.0,7.1448753E7,45.0,0.041
Broilers,Conditions,Hepatitis,2020-11,England,54103.0,6.827968E7,44.0,0.079
Broilers,Conditions,Hepatitis,2020-11,England,23683.0,6.827968E7,44.0,0.035
