met type,date,mean/sum,min,max,%complete,comments
Air Temperature,03/05/2010,3.82,-2.2,8.2,100,
Air Temperature,04/05/2010,4.93,-2.4,10.8,100,
Air Temperature,05/05/2010,8.78,5.8,12.1,100,
Air Temperature,06/05/2010,7.4,4.3,8.7,100,
Air Temperature,07/05/2010,5.93,3.4,9.6,100,
Air Temperature,08/05/2010,5.62,2.5,8.9,100,
Air Temperature,09/05/2010,5.3,-0.8,9.8,100,
Air Temperature,10/05/2010,3.7,-0.2,6.1,100,
Air Temperature,11/05/2010,2.96,-2.1,6.6,100,
Air Temperature,12/05/2010,2.76,-3.1,7.8,100,
Air Temperature,13/05/2010,4.11,-4.0,10.2,100,
Air Temperature,14/05/2010,6.49,3.1,9.3,100,
Air Temperature,15/05/2010,7.67,4.1,12.2,100,
Air Temperature,16/05/2010,7.73,4.1,11.9,100,
Air Temperature,17/05/2010,8.62,5.1,12.7,100,
Air Temperature,18/05/2010,9.48,0.2,16.2,100,
Air Temperature,19/05/2010,9.5,1.6,13.7,100,
Air Temperature,20/05/2010,13.09,10.6,17.0,100,
Air Temperature,21/05/2010,15.5,7.8,22.5,100,
Air Temperature,22/05/2010,17.1,8.3,23.2,100,
Air Temperature,23/05/2010,16.61,8.6,22.9,100,
Air Temperature,24/05/2010,12.22,8.5,16.7,100,
Air Temperature,25/05/2010,7.05,2.3,10.0,100,
Air Temperature,26/05/2010,4.52,-1.3,9.5,100,
Air Temperature,27/05/2010,5.51,2.1,9.7,100,
Air Temperature,28/05/2010,7.16,-0.3,12.3,100,
Air Temperature,29/05/2010,8.05,5.2,11.5,100,
Air Temperature,30/05/2010,8.27,6.9,10.6,100,
Air Temperature,31/05/2010,10.77,6.8,15.4,100,
Air Temperature,01/06/2010,9.53,6.3,12.6,100,
Air Temperature,02/06/2010,12.55,8.4,17.5,100,
Air Temperature,03/06/2010,13.63,3.5,21.5,100,
Air Temperature,04/06/2010,14.61,5.5,21.8,100,
Air Temperature,05/06/2010,16.05,10.0,21.6,100,
Air Temperature,06/06/2010,12.54,8.6,16.6,100,
Air Temperature,07/06/2010,11.4,10.1,12.9,100,
Air Temperature,08/06/2010,10.89,9.7,12.4,100,
Air Temperature,09/06/2010,10.19,9.2,10.9,100,
Air Temperature,10/06/2010,9.5,6.5,11.6,100,
Air Temperature,11/06/2010,10.55,3.9,16.9,100,
Air Temperature,12/06/2010,10.88,3.8,14.9,100,
Air Temperature,13/06/2010,9.99,8.2,12.5,100,
Air Temperature,14/06/2010,9.88,4.6,13.2,100,
Air Temperature,15/06/2010,10.53,3.0,17.6,100,
Air Temperature,16/06/2010,14.18,5.0,21.3,100,
Air Temperature,17/06/2010,16.16,7.9,22.4,100,
Air Temperature,18/06/2010,13.04,7.2,16.3,100,
Air Temperature,19/06/2010,9.36,5.6,13.8,100,
Air Temperature,20/06/2010,11.08,1.4,18.6,100,
Air Temperature,21/06/2010,13.02,5.4,18.8,100,
Air Temperature,22/06/2010,14.97,6.8,20.7,100,
Air Temperature,23/06/2010,14.11,8.7,18.6,100,
Air Temperature,24/06/2010,14.15,12.0,16.1,100,
Air Temperature,25/06/2010,14.6,10.5,18.8,100,
Air Temperature,26/06/2010,15.33,8.5,20.8,100,
Air Temperature,27/06/2010,15.85,10.0,20.7,100,
Air Temperature,28/06/2010,14.4,8.3,19.8,100,
Air Temperature,29/06/2010,15.7,12.5,19.9,100,
Air Temperature,30/06/2010,15.54,9.4,21.0,100,
Air Temperature,01/07/2010,15.65,12.1,18.6,100,
Air Temperature,02/07/2010,15.1,10.3,19.0,100,
Air Temperature,03/07/2010,13.98,11.2,17.3,100,
Air Temperature,04/07/2010,13.07,9.5,16.5,100,
Air Temperature,05/07/2010,12.28,9.8,15.5,100,
Air Temperature,06/07/2010,11.44,6.2,16.1,100,
Air Temperature,07/07/2010,14.8,12.9,17.3,100,
Air Temperature,08/07/2010,13.57,10.9,16.5,100,
Air Temperature,09/07/2010,13.78,10.6,18.2,100,
Air Temperature,10/07/2010,14.64,11.3,18.4,100,
Air Temperature,11/07/2010,13.32,10.6,15.8,100,
Air Temperature,12/07/2010,12.48,8.7,16.1,100,
Air Temperature,13/07/2010,11.63,8.1,15.4,100,
Air Temperature,14/07/2010,13.53,10.3,17.2,100,
Air Temperature,15/07/2010,13.5,11.8,15.8,100,
Air Temperature,16/07/2010,12.08,11.0,14.1,100,
Air Temperature,17/07/2010,11.04,9.0,12.9,100,
Air Temperature,18/07/2010,13.03,7.5,16.4,100,
Air Temperature,19/07/2010,15.56,14.1,18.7,100,
Air Temperature,20/07/2010,14.72,12.7,17.2,100,
Air Temperature,21/07/2010,14.52,10.6,16.9,100,
Air Temperature,22/07/2010,10.08,6.0,11.7,100,
