met type,date,mean/sum,min,max,%complete,comments
Air Temperature,04/10/2010,9.8,7.1,13.2,100,
Air Temperature,05/10/2010,11.1,10.2,12.9,100,
Air Temperature,06/10/2010,9.83,8.6,10.9,100,
Air Temperature,07/10/2010,10.89,8.5,13.4,100,
Air Temperature,08/10/2010,13.67,10.9,15.6,100,
Air Temperature,09/10/2010,11.67,10.5,12.5,100,
Air Temperature,10/10/2010,11.33,9.6,14.6,100,
Air Temperature,11/10/2010,8.54,5.3,13.1,100,
Air Temperature,12/10/2010,6.18,3.9,10.0,100,
Air Temperature,13/10/2010,6.63,3.9,12.6,100,
Air Temperature,14/10/2010,5.96,5.3,6.9,100,
Air Temperature,15/10/2010,7.35,5.5,9.3,100,
Air Temperature,16/10/2010,6.47,4.7,9.2,100,
Air Temperature,17/10/2010,6.05,3.6,8.9,100,
Air Temperature,18/10/2010,8.52,7.5,9.7,100,
Air Temperature,19/10/2010,5.96,3.2,8.2,100,
Air Temperature,20/10/2010,3.16,1.2,5.7,100,
Air Temperature,21/10/2010,4.55,1.2,8.3,100,
Air Temperature,22/10/2010,6.92,5.5,8.4,100,
Air Temperature,23/10/2010,5.75,4.2,7.7,100,
Air Temperature,24/10/2010,3.71,1.5,6.8,100,
Air Temperature,25/10/2010,3.01,-0.3,6.2,100,
Air Temperature,26/10/2010,9.11,5.1,12.4,100,
Air Temperature,27/10/2010,10.02,9.0,11.7,100,
