period,status,sex,age,population
2014-03-31,F,female,85-89,30880.0
2014-03-31,F,female,90+,18010.0
2014-03-31,F,female,median,38.59
2014-03-31,F,female,total,2294420.0
2014-06-30,F,female,0-14,444000.0
2014-06-30,F,female,0-4,150450.0
2014-06-30,F,female,10-14,144370.0
2014-06-30,F,female,15-19,152140.0
2014-06-30,F,female,15-39,746500.0
2014-06-30,F,female,20-24,159330.0
2014-06-30,F,female,25-29,147870.0
2014-06-30,F,female,30-34,144170.0
2014-06-30,F,female,35-39,143040.0
2014-06-30,F,female,40-44,164810.0
2014-06-30,F,female,40-64,760100.0
2014-06-30,F,female,45-49,161780.0
2014-06-30,F,female,5-9,149220.0
2014-06-30,F,female,50-54,164040.0
2014-06-30,F,female,55-59,143680.0
2014-06-30,F,female,60-64,125730.0
2014-06-30,F,female,65-69,110590.0
2014-06-30,F,female,65+,349500.0
2014-06-30,F,female,70-74,82900.0
2014-06-30,F,female,75-79,60560.0
2014-06-30,F,female,80-84,46250.0
2014-06-30,F,female,85-89,31070.0
2014-06-30,F,female,90+,18150.0
2014-06-30,F,female,median,38.63
2014-06-30,F,female,total,2300160.0
2014-09-30,F,female,0-14,444000.0
2014-09-30,F,female,0-4,149780.0
2014-09-30,F,female,10-14,143910.0
2014-09-30,F,female,15-19,152940.0
2014-09-30,F,female,15-39,751800.0
2014-09-30,F,female,20-24,160690.0
2014-09-30,F,female,25-29,150040.0
2014-09-30,F,female,30-34,145260.0
2014-09-30,F,female,35-39,142840.0
2014-09-30,F,female,40-44,164130.0
2014-09-30,F,female,40-64,761700.0
2014-09-30,F,female,45-49,162070.0
2014-09-30,F,female,5-9,150330.0
2014-09-30,F,female,50-54,164380.0
2014-09-30,F,female,55-59,144740.0
2014-09-30,F,female,60-64,126420.0
2014-09-30,F,female,65-69,111940.0
2014-09-30,F,female,65+,352100.0
2014-09-30,F,female,70-74,83360.0
2014-09-30,F,female,75-79,61330.0
2014-09-30,F,female,80-84,46220.0
2014-09-30,F,female,85-89,30980.0
2014-09-30,F,female,90+,18300.0
2014-09-30,F,female,median,38.6
2014-09-30,F,female,total,2309670.0
2014-12-31,F,female,0-14,444500.0
2014-12-31,F,female,0-4,149480.0
2014-12-31,F,female,10-14,143570.0
2014-12-31,F,female,15-19,152740.0
2014-12-31,F,female,15-39,756600.0
2014-12-31,F,female,20-24,161730.0
2014-12-31,F,female,25-29,152940.0
2014-12-31,F,female,30-34,146460.0
2014-12-31,F,female,35-39,142700.0
2014-12-31,F,female,40-44,163580.0
2014-12-31,F,female,40-64,763700.0
2014-12-31,F,female,45-49,162340.0
2014-12-31,F,female,5-9,151430.0
2014-12-31,F,female,50-54,164950.0
2014-12-31,F,female,55-59,145610.0
2014-12-31,F,female,60-64,127250.0
2014-12-31,F,female,65-69,113430.0
2014-12-31,F,female,65+,355600.0
2014-12-31,F,female,70-74,83950.0
2014-12-31,F,female,75-79,62330.0
2014-12-31,F,female,80-84,46210.0
2014-12-31,F,female,85-89,31160.0
2014-12-31,F,female,90+,18470.0
2014-12-31,F,female,median,38.59
2014-12-31,F,female,total,2320320.0
2015-03-31,F,female,0-14,445100.0
2015-03-31,F,female,0-4,149060.0
2015-03-31,F,female,10-14,143610.0
2015-03-31,F,female,15-19,153370.0
2015-03-31,F,female,15-39,762400.0
2015-03-31,F,female,20-24,163270.0
2015-03-31,F,female,25-29,155300.0
2015-03-31,F,female,30-34,147570.0
2015-03-31,F,female,35-39,142870.0
2015-03-31,F,female,40-44,163060.0
2015-03-31,F,female,40-64,765300.0
2015-03-31,F,female,45-49,162860.0
2015-03-31,F,female,5-9,152420.0
2015-03-31,F,female,50-54,164770.0
2015-03-31,F,female,55-59,146730.0
2015-03-31,F,female,60-64,127840.0
2015-03-31,F,female,65-69,114660.0
2015-03-31,F,female,65+,358800.0
2015-03-31,F,female,70-74,84770.0
2015-03-31,F,female,75-79,63100.0
2015-03-31,F,female,80-84,46110.0
2015-03-31,F,female,85-89,31390.0
2015-03-31,F,female,90+,18730.0
2015-03-31,F,female,median,38.55
2015-03-31,F,female,total,2331490.0
2015-06-30,F,female,0-14,445600.0
2015-06-30,F,female,0-4,148870.0
2015-06-30,F,female,10-14,143390.0
2015-06-30,F,female,15-19,153330.0
2015-06-30,F,female,15-39,764700.0
