countrycode,countryname,year,SH_UHC_NOP1_CG,SH_UHC_NOP1_TO,SH_UHC_NOP1_ZG,SH_UHC_NOP1_ZS,SH_UHC_NOP2_CG,SH_UHC_NOP2_TO,SH_UHC_NOP2_ZG,SH_UHC_NOP2_ZS,SH_UHC_OOPC_10_TO,SH_UHC_OOPC_10_ZS,SH_UHC_OOPC_25_TO,SH_UHC_OOPC_25_ZS,SH_UHC_SRVS_CV_XD
BLR,Belarus,1998.0,9.341000113636E-4,17000.0,0.0491699986159801,0.1713428050279617,0.0058544999919831,61000.0,0.1888599991798401,0.6022294759750366,158000.0,1.565287947654724,19000.0,0.1919904947280883,NaN
BLR,Belarus,1999.0,8.349000127054E-4,15000.0,0.0439400002360343,0.1529303044080734,0.0053698997944593,56000.0,0.1732199937105178,0.5557010173797607,184000.0,1.835193991661072,19000.0,0.1903042942285537,NaN
BLR,Belarus,2000.0,5.658000009134E-4,12000.0,0.0297800004482269,0.1242877021431922,0.0041831000708043,51000.0,0.1349399983882904,0.5096371173858643,209000.0,2.090872049331665,30000.0,0.3005006909370422,NaN
BLR,Belarus,2001.0,4.641000123228E-4,13000.0,0.0244200006127357,0.1322585940361023,0.0039463001303374,46000.0,0.1272999942302703,0.4595598876476288,319000.0,3.2142889499664307,41000.0,0.4163298904895782,NaN
BLR,Belarus,2002.0,4.988000146113E-4,9000.0,0.0262499991804361,0.0953679978847503,0.0061237001791596,77000.0,0.1975400000810623,0.7788050174713135,341000.0,3.459407091140747,14000.0,0.1453305929899215,NaN
BLR,Belarus,2003.0,3.117999876849E-4,6000.0,0.0164100006222724,0.0590098984539508,0.0047912001609802,74000.0,0.1545500010251999,0.7603346109390259,351000.0,3.586116075515747,24000.0,0.2484475970268249,NaN
BLR,Belarus,2004.0,5.220000093686394E-5,4000.0,0.0027499999850988,0.0438026003539562,0.0020520999096333,45000.0,0.0662000030279159,0.4590902030467987,266000.0,2.72869610786438,13000.0,0.1318704932928085,NaN
BLR,Belarus,2005.0,1.042000003508E-4,0.0,0.0054899998940527,0.0,0.0010043999645859,20000.0,0.0324000008404254,0.2070233970880508,194000.0,2.007828950881958,7000.0,0.0676430016756057,NaN
BLR,Belarus,2006.0,1.850000080594328E-5,0.0,9.730000165291E-4,0.0,4.201999981887E-4,8000.0,0.0135599998757243,0.0844364017248153,253000.0,2.6382811069488525,4000.0,0.0389552004635334,NaN
BLR,Belarus,2007.0,0.0,0.0,0.0,0.0,2.101999998558E-4,5000.0,0.0067799999378621,0.0529224015772342,214000.0,2.2340240478515625,15000.0,0.1620068997144699,NaN
