mission,programme,libelle_programme,action,libelle_action,t_categorie,valeur
"Agriculture, pêche, alimentation, forêt et affaires rurales",149,Forêt,2,Régime forestier et patrimoine forestier domanial,T3,167766575
Recherche et enseignement supérieur,186,Recherche culturelle et culture scientifique,4,Recherches transversales et pilotage du programme,T3,0
"Agriculture, pêche, alimentation, forêt et affaires rurales",215,Conduite et pilotage des politiques de l'agriculture,3,"Moyens des directions régionales de l'alimentation, de l'agriculture et de la forêt; directions départementales de l'agriculture et de la forêt; directions départementales de l'équipement et de l'agriculture et directions de l'agriculture et de la forêt",T6,132111
Défense,178,Préparation et emploi des forces,3,Préparation des forces navales,T2,2611757950
Défense,212,Soutien de la politique de la défense,1,Direction et pilotage,T6,191375
"Agriculture, pêche, alimentation, forêt et affaires rurales",215,Conduite et pilotage des politiques de l'agriculture,1,Moyens de l'administration centrale,T5,159938
"Écologie, développement et aménagement durables",159,Information géographique et cartographique,1,Production de l'information géographique,T3,65745107
"Écologie, développement et aménagement durables",203,Infrastructures et services de transports,13,"Soutien, régulation, contrôle et sécurité des services de transports terrestres",T3,3597552
"Écologie, développement et aménagement durables",217,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",5,Politique des ressources humaines et formation,T7,0
"Écologie, développement et aménagement durables",217,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",18,Personnels relevant de programmes d'autres ministères,T3,0
Enseignement scolaire,139,Enseignement privé du premier et du second degrés,2,Enseignement élémentaire,T2,1134315268
Outre-mer,123,Conditions de vie outre-mer,8,Fonds exceptionnel d'investissement,T6,3446546
Sécurité,152,Gendarmerie nationale,2,Sécurité routière,T3,8839
"Immigration, asile et intégration",104,Intégration et accès à la nationalité française,11,Actions nationales d'accueil des étrangers primo arrivants et de formation linguistique,T6,4412883
Justice,101,Accès au droit et à la justice,2,Développement de l'accès au droit et du réseau judiciaire de proximité,T3,131285
Relations avec les collectivités territoriales,120,Concours financiers aux départements,2,Dotation générale de décentralisation,T6,267690613
"Solidarité, insertion et égalité des chances",124,"Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative",3,Gestion des politiques sociales,T6,0
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,1,Formation initiale et continue du baccalauréat à la licence,T5,-24137
Régimes sociaux et de retraite,197,Régimes de retraite et de sécurité sociale des marins,1,Pensions de retraite des marins,T3,11188672
Régimes sociaux et de retraite,197,Régimes de retraite et de sécurité sociale des marins,3,Action sanitaire et sociale des marins,T3,0
Défense,212,Soutien de la politique de la défense,8,Promotion et valorisation du patrimoine culturel,T2,24148625
Justice,166,Justice judiciaire,4,Conseil supérieur de la magistrature,T5,0
Administration générale et territoriale de l'État,307,Administration territoriale,5,"Animation du réseau, soutien au service des préfectures et gestion des Hauts-Commissariats et représentations de l'Etat à l'Outre-mer",T6,390850
Direction de l'action du Gouvernement,129,Coordination du travail gouvernemental,11,Stratégie et prospective,T6,5394974
Recherche et enseignement supérieur,187,Recherche dans le domaine de la gestion des milieux et des ressources,1,"Recherches scientifiques et technologiques sur les ressources, les milieux et leur biodiversité",T3,271989993
Santé,204,"Prévention, sécurité sanitaire et offre de soins",14,Prévention des maladies chroniques et qualité de vie des malades,T6,6499539
Action extérieure de l'État,332,Présidence française du G20 et du G8,1,Organisation du sommet du G8,T3,31357714
Administration générale et territoriale de l'État,307,Administration territoriale,4,Pilotage territorial des politiques gouvernementales,T7,0
Administration générale et territoriale de l'État,232,"Vie politique, cultuelle et associative",5,Vie associative et soutien,T5,0
Enseignement scolaire,139,Enseignement privé du premier et du second degrés,12,Soutien,T3,4761094
Justice,182,Protection judiciaire de la jeunesse,2,Mise en oeuvre des mesures judiciaires : mineurs en danger et jeunes majeurs,T5,0
Politique des territoires,162,Interventions territoriales de l'État,4,Programme exceptionnel d'investissements en faveur de la Corse,T6,69768532
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,3,Formation initiale et continue de niveau doctorat,T6,6594150
Santé,204,"Prévention, sécurité sanitaire et offre de soins",17,"Qualité, sécurité et gestion des produits de santé et du corps humain",T3,12274191
Sécurité,152,Gendarmerie nationale,2,Sécurité routière,T2,764571718
Direction de l'action du Gouvernement,308,Protection des droits et libertés,8,Défenseur des enfants,T3,394719
Économie,220,Statistiques et études économiques,2,Information sur les entreprises et synthèses économiques,T2,52502014
"Agriculture, pêche, alimentation, forêt et affaires rurales",206,Sécurité et qualité sanitaires de l'alimentation,5,Elimination des farines et des coproduits animaux,T6,4000000
Conseil et contrôle de l'État,165,Conseil d'État et autres juridictions administratives,1,Fonction juridictionnelle : Conseil d'État,T2,23079123
Culture,224,Transmission des savoirs et démocratisation de la culture,7,Fonctions de soutien du ministère,T2,628411991
Enseignement scolaire,214,Soutien de la politique de l'éducation nationale,10,Transports scolaires,T3,0
"Médias, livre et industries culturelles",180,Presse,4,Industries culturelles,T3,0
Recherche et enseignement supérieur,172,Recherches scientifiques et technologiques pluridisciplinaires,7,"Recherches scientifiques et technologiques en physique, chimie et sciences pour l'ingénieur",T3,553552846
Recherche et enseignement supérieur,186,Recherche culturelle et culture scientifique,4,Recherches transversales et pilotage du programme,T2,0
"Sport, jeunesse et vie associative",163,Jeunesse et vie associative,2,Actions en faveur de la jeunesse et de l'éducation populaire,T3,5753949
Travail et emploi,102,Accès et retour à l'emploi,1,Amélioration de l’efficacité du service public de l’emploi,T3,1303155756
Économie,134,Développement des entreprises et de l'emploi,8,"Expertise, conseil et inspection",T3,55502
Gestion des finances publiques et des ressources humaines,156,Gestion fiscale et financière de l'État et du secteur public local,1,Fiscalité des grandes entreprises,T5,-37925
Gestion des finances publiques et des ressources humaines,302,Facilitation et sécurisation des échanges,1,Surveillance douanière des flux de personnes et de marchandises et lutte contre la grande fraude douanière.,T5,1730241
Justice,310,Conduite et pilotage de la politique de la justice,9,Action informatique ministérielle,T6,1000000
Remboursements et dégrèvements,200,Remboursements et dégrèvements d'impôts d'État (crédits évaluatifs),11,Remboursements et restitutions liés à la mécanique de l'impôt,T6,56776126353
"Solidarité, insertion et égalité des chances",124,"Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative",5,Pilotage de la sécurité sociale,T6,168640
Sécurité civile,128,Coordination des moyens de secours,3,Soutien à la politique de sécurité civile,T3,16160639
Travail et emploi,155,"Conception, gestion et évaluation des politiques de l'emploi et du travail",4,Gestion des effectifs du programme « amélioration de la qualité de l’emploi et des relations du travail »,T6,0
Défense,178,Préparation et emploi des forces,5,Logistique et soutien interarmées,T6,303972
Enseignement scolaire,143,Enseignement technique agricole,5,"Moyens communs à l'enseignement technique agricole, public et privé",T2,451
"Immigration, asile et intégration",303,Immigration et asile,1,Circulation des étrangers et politique des visas,T2,23240
"Écologie, développement et aménagement durables",181,Prévention des risques,1,Prévention des risques technologiques et des pollutions,T6,44955670
Aide publique au développement,209,Solidarité à l'égard des pays en développement,1,Animation du réseau et coordination de l'aide au développement,T5,0
"Anciens combattants, mémoire et liens avec la nation",158,Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale,2,Indemnisation des victimes d'actes de barbarie durant la seconde guerre mondiale,T3,23065
Économie,134,Développement des entreprises et de l'emploi,17,Protection économique du consommateur,T3,3384878
Économie,223,Tourisme,1,Promotion de l'image touristique de la France et de ses savoir-faire,T6,2109782
Enseignement scolaire,140,Enseignement scolaire public du premier degré,5,Remplacement,T2,1414852584
Gestion des finances publiques et des ressources humaines,221,Stratégie des finances publiques et modernisation de l'État,8,Régulation des jeux en ligne,T6,0
Régimes sociaux et de retraite,198,Régimes sociaux et de retraite des transports terrestres,5,Autres régimes,T6,196005113
Défense,146,Équipement des forces,8,Projection - mobilité - soutien,T5,448057072
"Agriculture, pêche, alimentation, forêt et affaires rurales",154,"Économie et développement durable de l'agriculture, de la pêche et des territoires",11,Adaptation des filières à l'évolution des marchés,T6,455269285
