X,Y,OBJECTID,TYPE_PLACE,COMMUNE,IDENTIFIANT,ADRESSE,TYPE_POSITION,NB_PLACES,MEMO,DATE_CREATION,DATE_MAJ
800515.527199998,6872918.0213,23,PMR,Châlons-en-Champagne,PMR_25,Avenue du Général de Gaulle N°45B- Espace Rigot,Parking,1,,2016/06/28 09:30:51+00,2019/10/23 15:19:26+00
800418.160400003,6873012.2132,24,PMR,Châlons-en-Champagne,PMR_26,Avenue du Général de Gaulle N°27,Rue,1,,2016/06/28 09:30:51+00,2019/10/23 15:19:44+00
799615.767800003,6874101.7405,26,PMR,Châlons-en-Champagne,PMR_28,Quai des Gadz'Arts - côté école du Mau,Rue,1,,2016/06/28 09:30:51+00,2019/07/26 14:17:16+00
798386.984300002,6873034.9041,27,PMR,Châlons-en-Champagne,PMR_29,Rue Henri Dunant N°24 - Parking Mairie Annexe,Parking,1,,2016/06/28 09:30:51+00,2019/10/23 15:20:02+00
799671.024099998,6874289.7035,28,PMR,Châlons-en-Champagne,PMR_30,Rue Flandres Dunkerque - Parking Police,Parking,1,,2016/06/28 09:30:51+00,2016/06/28 10:10:55+00
798160.034199998,6873059.0644,29,PMR,Châlons-en-Champagne,PMR_31,Rue Robert Espagne - face au n°4,Rue,1,modifié en nov 2016(securité des écoles),2016/06/28 09:30:51+00,2016/11/29 11:15:26+00
798492.880000003,6873608.2533,30,PMR,Châlons-en-Champagne,PMR_32,Rue de Fagnières - Parking,Parking,1,,2016/06/28 09:30:51+00,2019/10/23 12:58:47+00
800342.964100003,6874122.4666,31,PMR,Châlons-en-Champagne,PMR_33,Boulevard Anatole France N°84,Rue,1,,2016/06/28 09:30:51+00,2019/10/23 15:20:18+00
800269.125,6874237.5213,32,PMR,Châlons-en-Champagne,PMR_34, Boulevard Anatole France N°52,Rue,1,,2016/06/28 09:30:51+00,2019/10/23 15:21:59+00
800249.542400002,6874268.4154,34,PMR,Châlons-en-Champagne,PMR_36,Boulevard Anatole France n°48,Rue,1,modifié en nov 2016( securité des écoles),2016/06/28 09:30:51+00,2019/11/22 13:13:46+00
800160.645599999,6874387.6726,35,PMR,Châlons-en-Champagne,PMR_37,Boulevard Anatole France n°18,Rue,1,,2016/06/28 09:30:51+00,2019/11/22 13:14:16+00
799756.8178,6876213.6855,36,PMR,Châlons-en-Champagne,PMR_38,Rue de la Fraternité - Parking côté Lycée Ozanam,Parking,1,,2016/06/28 09:30:51+00,2019/07/26 14:35:18+00
799670.652800001,6873813.6579,37,PMR,Châlons-en-Champagne,PMR_39,rue du Gantelet N°3,Rue,1,,2016/06/28 09:30:51+00,2019/11/22 13:22:08+00
798717.033200003,6873636.1674,38,PMR,Châlons-en-Champagne,PMR_40,Avenue de la Gare - Parvis,Parking,1,,2016/06/28 09:30:51+00,2019/07/26 14:38:42+00
800057.696599998,6873884.4568,39,PMR,Châlons-en-Champagne,PMR_41,Rue Garinet N°17,Rue,1,,2016/06/28 09:30:51+00,2019/11/22 13:22:33+00
799852.530900002,6875697.2927,40,PMR,Châlons-en-Champagne,PMR_42,Rue Maurice Genevoix N°183 - sur ilot central,Rue,1,,2016/06/28 09:30:51+00,2019/11/22 13:23:22+00
800273.693300001,6872793.8168,41,PMR,Châlons-en-Champagne,PMR_43,Rue du Général Giraud N°18,Rue,1,,2016/06/28 09:30:51+00,2019/11/22 13:22:55+00
799904.001599997,6873814.2443,42,PMR,Châlons-en-Champagne,PMR_44,Place Godart,Parking,1,,2016/06/28 09:30:51+00,2016/06/28 10:10:55+00
799722.137599997,6875467.2602,43,PMR,Châlons-en-Champagne,PMR_45,Rue Anne Godeau - à côté du n°6,Rue,1,,2016/06/28 09:30:51+00,2016/06/28 10:10:55+00
800004.890699998,6874461.9554,44,PMR,Châlons-en-Champagne,PMR_46,Place Gouzien - Parking Espace Coubertin,Parking,1,,2016/06/28 09:30:51+00,2019/07/26 14:48:33+00
799271.866300002,6873620.7906,45,PMR,Châlons-en-Champagne,PMR_47,Boulevard Victor Hugo - Hemicycle,Rue,1,,2016/06/28 09:30:51+00,2019/10/23 13:03:34+00
799951.319700003,6873913.7321,46,PMR,Châlons-en-Champagne,PMR_48,Rue Grande Etape N°2 - Parking public payant,Parking,1,,2016/06/28 09:30:51+00,2019/11/22 13:28:37+00
800027.5198,6873958.1822,47,PMR,Châlons-en-Champagne,PMR_49,Rue Grande Etape N°21,Rue,1,,2016/06/28 09:30:51+00,2019/11/22 13:28:57+00
799776.694300003,6874331.7746,48,PMR,Châlons-en-Champagne,PMR_51,Boulevard Justin Grandthille - face au n°18,Rue,1,,2016/06/28 09:30:51+00,2016/06/28 10:10:55+00
801289.709100001,6872494.821,50,PMR,Châlons-en-Champagne,PMR_53,Capitole en Champagne - côté Avenue Roosevelt,Parking,1,,2016/06/28 09:30:51+00,2019/07/26 14:52:57+00
801182.524800003,6872306.3051,51,PMR,Châlons-en-Champagne,PMR_54,Capitole en Champagne - côté Degreave,Parking,1,,2016/06/28 09:30:51+00,2019/07/26 14:56:58+00
801122.1941,6872374.3086,52,PMR,Châlons-en-Champagne,PMR_55,Capitole en Champagne - côté Degreave,Parking,1,,2016/06/28 09:30:51+00,2019/07/26 14:54:59+00
798976.894599997,6872770.5512,53,PMR,Châlons-en-Champagne,PMR_56,Rue Haute de Compertrix - face au n°88,Parking,1,,2016/06/28 09:30:51+00,2021/01/05 13:52:54+00
800425.827299997,6873876.4607,54,PMR,Châlons-en-Champagne,PMR_57,Rue André Hubert N°05,Rue,1,,2016/06/28 09:30:51+00,2019/11/22 13:15:58+00
798339.574900001,6873753.5461,55,PMR,Châlons-en-Champagne,PMR_58,Rue Jacquesson - angle avec la rue de Fagnières,Sur trottoir,1,,2016/06/28 09:30:51+00,2019/07/26 15:01:23+00
799420.197099999,6874749.8954,56,PMR,Châlons-en-Champagne,PMR_59,Rue Clovis Jacquiert - Parking Groupe Scolaire,Parking,1,,2016/06/28 09:30:51+00,2016/06/28 10:10:56+00
800441.623099998,6873102.9992,57,PMR,Châlons-en-Champagne,PMR_60,Rue Jean de la Fontaine N°6,Rue,1,,2016/06/28 09:30:51+00,2019/11/22 13:37:29+00
800028.252999999,6873486.072,58,PMR,Châlons-en-Champagne,PMR_61,Rue de Jessaint - entrée Conseil Général,Rue,1,,2016/06/28 09:30:51+00,2016/06/28 10:10:56+00
800396.245099999,6874108.9985,59,PMR,Châlons-en-Champagne,PMR_62,Rue Kellerman - Grande Etape,Parking,1,,2016/06/28 09:30:51+00,2019/10/23 13:12:23+00
799685.537299998,6873324.0782,60,PMR,Châlons-en-Champagne,PMR_63,Avenue du Maréchal Leclerc - Petit & Grand Jard,Parking,1,,2016/06/28 09:30:51+00,2019/07/26 15:05:55+00
