Code dossier_T0_Début suspension_Fin suspension_Date avis définitif_Date envoi CEPS
CT-18516;02/03/2020;;;09/09/2020;18/09/2020
CT-18507;24/02/2020;;;15/04/2020;16/04/2020
CT-18505;24/02/2020;;;15/04/2020;16/04/2020
CT-18503;21/02/2020;;;01/04/2020;02/04/2020
CT-18502;21/02/2020;;;01/04/2020;02/04/2020
CT-18490;19/02/2020;22/05/2020;27/05/2020;24/06/2020;07/07/2020
CT-18490;19/02/2020;06/05/2020;13/05/2020;24/06/2020;07/07/2020
CT-18490;19/02/2020;04/06/2020;08/06/2020;24/06/2020;07/07/2020
CT-18488;28/02/2020;;;20/03/2020;27/03/2020
CT-18482;14/02/2020;;;10/06/2020;29/06/2020
CT-18478;14/02/2020;;;20/03/2020;23/03/2020
CT-18477;14/02/2020;;;15/04/2020;28/04/2020
CT-18476;25/02/2020;;;22/04/2020;24/04/2020
CT-18474;17/04/2020;;;10/06/2020;16/06/2020
CT-18468;24/04/2020;;;22/07/2020;23/07/2020
CT-18466;10/02/2020;;;11/03/2020;18/03/2020
CT-18461;11/02/2020;;;22/04/2020;07/05/2020
CT-18458;03/02/2020;;;04/03/2020;12/03/2020
CT-18454;03/02/2020;;;27/05/2020;08/06/2020
CT-18448;03/02/2020;;;27/05/2020;29/05/2020
CT-18445;03/02/2020;;;19/02/2020;26/02/2020
CT-18444;03/02/2020;;;19/02/2020;28/02/2020
CT-18438;27/01/2020;;;16/09/2020;23/09/2020
CT-18437;27/01/2020;;;08/07/2020;21/07/2020
CT-18436;27/01/2020;;;04/03/2020;05/03/2020
CT-18433;03/02/2020;;;24/06/2020;26/06/2020
CT-18432;27/01/2020;;;24/06/2020;25/06/2020
CT-18430;23/01/2020;;;05/02/2020;05/03/2020
CT-18429;27/01/2020;;;19/02/2020;26/02/2020
CT-18423;17/01/2020;;;03/06/2020;24/06/2020
CT-18416;27/01/2020;;;10/06/2020;29/06/2020
CT-18415;27/01/2020;04/06/2020;08/06/2020;10/06/2020;16/07/2020
CT-18411;17/01/2020;;;01/04/2020;08/04/2020
CT-18409;27/01/2020;;;20/03/2020;24/03/2020
CT-18408;14/01/2020;;;20/03/2020;31/03/2020
CT-18407;14/01/2020;;;19/02/2020;21/02/2020
CT-18406;15/01/2020;;;10/06/2020;19/06/2020
CT-18399;14/01/2020;;;22/01/2020;22/01/2020
CT-18394;10/02/2020;;;19/02/2020;03/03/2020
CT-18393;14/01/2020;;;05/02/2020;14/02/2020
CT-18386;10/01/2020;;;22/04/2020;05/05/2020
CT-18378;24/12/2019;17/02/2020;18/02/2020;24/06/2020;25/06/2020
CT-18376;25/02/2020;03/03/2020;30/09/2020;16/12/2020;16/12/2020
CT-18375;24/12/2019;;;08/07/2020;28/07/2020
CT-18369;24/12/2019;;;24/06/2020;01/07/2020
CT-18366;18/12/2019;17/12/2019;12/05/2020;24/06/2020;25/06/2020
CT-18365;18/12/2019;26/02/2020;26/02/2020;20/03/2020;26/03/2020
CT-18354;30/01/2020;;;01/04/2020;16/04/2020
CT-18351;24/12/2019;;;11/03/2020;13/03/2020
CT-18347;13/12/2019;;;10/06/2020;24/06/2020
CT-18346;19/12/2019;;;27/05/2020;05/06/2020
CT-18345;13/12/2019;;;19/02/2020;21/02/2020
CT-18344;28/07/2020;;;21/10/2020;18/11/2020
CT-18343;13/12/2019;;;11/03/2020;24/03/2020
CT-18342;24/12/2019;;;20/03/2020;24/03/2020
CT-18341;13/12/2019;;;05/02/2020;03/03/2020
CT-18336;13/12/2019;;;05/02/2020;11/02/2020
CT-18302;06/12/2019;28/01/2020;12/02/2020;13/05/2020;14/05/2020
CT-18301;06/12/2019;;;22/04/2020;07/05/2020
CT-18299;06/12/2019;;;24/06/2020;24/06/2020
CT-18298;07/12/2019;;;08/01/2020;15/01/2020
CT-18297;11/12/2019;;;11/03/2020;23/03/2020
CT-18296;06/12/2019;;;08/01/2020;15/01/2020
CT-18295;06/12/2019;;;05/02/2020;11/02/2020
CT-18294;14/12/2019;;;22/04/2020;13/05/2020
CT-18293;07/12/2019;;;15/04/2020;16/04/2020
CT-18291;03/02/2020;;;05/02/2020;18/02/2020
CT-18280;29/11/2019;;;13/05/2020;13/05/2020
CT-18278;28/11/2019;;;27/05/2020;08/06/2020
CT-18276;28/11/2019;;;20/03/2020;03/04/2020
CT-18275;28/11/2019;14/12/2019;14/04/2020;15/04/2020;24/04/2020
CT-18271;28/11/2019;;;08/01/2020;15/01/2020
CT-18270;29/11/2019;;;24/06/2020;29/06/2020
CT-18266;13/12/2019;;;05/02/2020;19/02/2020
CT-18264;28/11/2019;;;05/02/2020;07/02/2020
CT-18263;13/12/2019;;;19/02/2020;21/02/2020
CT-18262;02/12/2019;;;27/05/2020;09/06/2020
CT-18261;04/12/2019;;;05/02/2020;07/02/2020
CT-18258;20/01/2020;;;19/02/2020;25/02/2020
CT-18257;05/12/2019;;;03/06/2020;16/06/2020
CT-18251;21/11/2019;;;08/01/2020;21/01/2020
CT-18250;21/11/2019;;;08/01/2020;17/01/2020
CT-18246;21/11/2019;;;08/01/2020;14/01/2020
CT-18239;13/11/2019;;;08/01/2020;17/01/2020
CT-18238;13/11/2019;;;05/02/2020;20/02/2020
CT-18233;13/11/2019;;;08/01/2020;16/01/2020
CT-18229;13/11/2019;;;27/05/2020;05/06/2020
CT-18225;13/11/2019;;;08/01/2020;21/01/2020
CT-18223;13/11/2019;;;04/03/2020;13/03/2020
CT-18220;13/11/2019;22/01/2020;07/02/2020;20/03/2020;30/03/2020
CT-18212;21/11/2019;;;20/03/2020;30/03/2020
CT-18211;07/11/2019;;;22/01/2020;13/02/2020
CT-18209;15/11/2019;;;05/02/2020;07/02/2020
CT-18208;06/12/2019;;;22/07/2020;23/07/2020
CT-18206;04/12/2019;;;20/03/2020;26/03/2020
CT-18200;20/02/2020;;;13/05/2020;13/05/2020
CT-18199;13/11/2019;;;05/02/2020;18/02/2020
CT-18197;21/11/2019;;;15/04/2020;20/04/2020
CT-18190;23/10/2019;;;20/03/2020;31/03/2020
CT-18189;21/02/2020;;;13/05/2020;13/05/2020
CT-18181;10/01/2020;;;22/04/2020;24/04/2020
CT-18180;22/10/2019;19/12/2019;17/02/2020;09/07/2020;09/07/2020
CT-18180;22/10/2019;21/02/2020;03/03/2020;09/07/2020;09/07/2020
